"","var","rel.inf"
"FOS","FOS",4.90048902981675
"DPYS","DPYS",3.5932487929368
"PRKAB2","PRKAB2",2.91999073691165
"LGALS2","LGALS2",2.77926737275041
"`NKX3-2`","`NKX3-2`",2.75337650634745
"GABARAPL1","GABARAPL1",2.65468916449404
"ART4","ART4",2.33666240949011
"RAD51L1","RAD51L1",1.96221188645979
"KDELR1","KDELR1",1.94131406839959
"TPD52","TPD52",1.88323411968651
"GAST","GAST",1.84462426839009
"SPRED1","SPRED1",1.81752105332995
"ARID5A","ARID5A",1.77339871412102
"BAALC","BAALC",1.6384197119872
"ZNRF2","ZNRF2",1.53415797053212
"GPR149","GPR149",1.47566730958552
"RGS1","RGS1",1.46116751110086
"FMO5","FMO5",1.39901969547161
"UBXD2","UBXD2",1.31041949798812
"TMEM88","TMEM88",1.18708680239026
"MTHFR","MTHFR",1.17771925041622
"ZDHHC16","ZDHHC16",1.1746844775701
"CSTA","CSTA",1.15723630015294
"CAPRIN2","CAPRIN2",1.12589210867391
"ZNF740","ZNF740",1.12270976076808
"KLK10","KLK10",1.1145844355219
"YWHAH","YWHAH",1.08778106098053
"KCNMB3","KCNMB3",0.929454360837727
"ACOX2","ACOX2",0.829175837241459
"PGK1","PGK1",0.81032840271883
"GPR6","GPR6",0.808700534339034
"KIAA1462","KIAA1462",0.76128095758777
"ZNF284","ZNF284",0.755072580396424
"TRMT11","TRMT11",0.746093460387794
"ZNF493","ZNF493",0.74608541312784
"KLK7","KLK7",0.740167023193614
"DDX6","DDX6",0.726705463629157
"PTX3","PTX3",0.726696879648168
"CELP","CELP",0.717936176865448
"REC8","REC8",0.715945738671639
"IRF2","IRF2",0.715237485032634
"PER1","PER1",0.701720066227411
"C12orf33","C12orf33",0.671785948256924
"LILRB5","LILRB5",0.648470426094236
"MSR1","MSR1",0.640826466086527
"STAC2","STAC2",0.637437496650166
"LTF","LTF",0.632076535304803
"G6PC","G6PC",0.62901164862173
"SYN2","SYN2",0.610575043438268
"GLB1L","GLB1L",0.608776535108382
"RCL1","RCL1",0.603477242900139
"SERPIND1","SERPIND1",0.590374245434215
"CLEC9A","CLEC9A",0.578532206387872
"GNAI1","GNAI1",0.572007955827109
"ZFP36","ZFP36",0.545134176994669
"ARF1","ARF1",0.541654075387871
"WAC","WAC",0.531134870062775
"ZDHHC20","ZDHHC20",0.527922076618067
"NRG2","NRG2",0.52571546782616
"HEPACAM","HEPACAM",0.510977244679398
"KLRC4","KLRC4",0.509696950748843
"RASA4","RASA4",0.509656621559109
"SLC39A9","SLC39A9",0.503666219616311
"TRAF1","TRAF1",0.498402032173844
"C2orf40","C2orf40",0.466388270780793
"GFPT1","GFPT1",0.465161525552244
"SPPL2A","SPPL2A",0.463873664366123
"PPP1R13B","PPP1R13B",0.449153059946134
"TIMM17A","TIMM17A",0.44746307887905
"MYC","MYC",0.443411282603337
"TEX12","TEX12",0.43824339956355
"ADRB2","ADRB2",0.437681127903837
"SMARCAL1","SMARCAL1",0.432612535016548
"C21orf89","C21orf89",0.409806419780966
"L3MBTL3","L3MBTL3",0.398442973475705
"ST6GALNAC3","ST6GALNAC3",0.391793134587358
"RUNX1","RUNX1",0.39010692658033
"MED12L","MED12L",0.388433677544453
"SCN9A","SCN9A",0.387635235755726
"UNC5B","UNC5B",0.385732343079943
"CD69","CD69",0.38147732218261
"GNG2","GNG2",0.372303507000686
"C19orf63","C19orf63",0.367608727998576
"GRIK1","GRIK1",0.3666011601862
"C1orf55","C1orf55",0.360508264198835
"INPP1","INPP1",0.360387172758432
"PBX1","PBX1",0.357189856288695
"PNPLA5","PNPLA5",0.354128323445238
"GLT1D1","GLT1D1",0.342925583011753
"TRIM59","TRIM59",0.336482055518416
"ADAMTS9","ADAMTS9",0.331197493766689
"IFNGR1","IFNGR1",0.320407038462821
"IL1R2","IL1R2",0.317770854364729
"IL10","IL10",0.315464422418648
"SNF1LK","SNF1LK",0.315319877623168
"PLS1","PLS1",0.309223794788406
"PNRC1","PNRC1",0.302302848526555
"FADS3","FADS3",0.291099803409577
"HAS3","HAS3",0.284650459821176
"GNPAT","GNPAT",0.284312171177828
"CENTG2","CENTG2",0.283776051601881
"KCNE1L","KCNE1L",0.281158666250767
"NOX4","NOX4",0.276014241725987
"ABHD12","ABHD12",0.264713337604091
"SLC30A5","SLC30A5",0.259441682994725
"C2orf7","C2orf7",0.249912841264416
"PIK3CD","PIK3CD",0.24743088655102
"MATK","MATK",0.245883557403351
"MRPS7","MRPS7",0.242419109298091
"LOC541472","LOC541472",0.240591535226484
"UIMC1","UIMC1",0.238008526579966
"CHRM1","CHRM1",0.229147463736251
"SOCS3","SOCS3",0.228215760460127
"RAPGEF1","RAPGEF1",0.227214523204797
"C21orf63","C21orf63",0.218822708426699
"CTCFL","CTCFL",0.21567070142811
"SOX13","SOX13",0.212999730550462
"ARRDC3","ARRDC3",0.195819381349562
"MYO1F","MYO1F",0.189912390132016
"GLRX2","GLRX2",0.187999505739284
"NAGA","NAGA",0.187943196262597
"ACSL4","ACSL4",0.184901683480075
"PI3","PI3",0.184492016800147
"P2RY12","P2RY12",0.184270866097019
"KPNA1","KPNA1",0.180678103496949
"CIDEC","CIDEC",0.176881017187562
"ZNF498","ZNF498",0.171572264750298
"MRO","MRO",0.169580680197516
"SDF4","SDF4",0.157989830530391
"DGAT2","DGAT2",0.15742050309375
"NTRK2","NTRK2",0.149474030176353
"CEL","CEL",0.149413626927386
"EGR2","EGR2",0.146898689228597
"C1orf38","C1orf38",0.137331857778398
"WDR38","WDR38",0.132658232961247
"CCDC82","CCDC82",0.130968794090772
"TMEM100","TMEM100",0.129518909580444
"RBBP5","RBBP5",0.129375594939167
"ARRDC2","ARRDC2",0.12776507858613
"CNOT10","CNOT10",0.127725242739276
"SAMD5","SAMD5",0.127262051769939
"EIF2B2","EIF2B2",0.125820848402758
"ZNF804A","ZNF804A",0.12446932801798
"CHI3L1","CHI3L1",0.121088511810941
"NPR1","NPR1",0.119481924979183
"ELMO1","ELMO1",0.111434563534522
"C19orf12","C19orf12",0.104422299844746
"PLAC8","PLAC8",0.10193021367428
"YBX2","YBX2",0.101732946760272
"MGC12966","MGC12966",0.100051843664163
"LRRIQ2","LRRIQ2",0.0915335609925886
"ZFAND5","ZFAND5",0.084631952406897
"CST4","CST4",0.0832611177959699
"CR1","CR1",0.0831377056857871
"PAPLN","PAPLN",0.0824817458994383
"CYP46A1","CYP46A1",0.0810279290224454
"RBM27","RBM27",0.0741106875376882
"DBC1","DBC1",0.0722713169427677
"ISCU","ISCU",0.0674413824596583
"LBP","LBP",0.0648625639043937
"FLJ45803","FLJ45803",0.0594179876637
"HN1L","HN1L",0.0585503591928678
"AFAR3","AFAR3",0.0584767198663338
"MS4A6A","MS4A6A",0.0580808214793342
"ATOH8","ATOH8",0.0528717816493568
"OR52D1","OR52D1",0.0508435456562175
"GABARAPL3","GABARAPL3",0.0496592147360806
"AMMECR1","AMMECR1",0.0496466074285306
"STAU2","STAU2",0.0480711689206144
"LGR6","LGR6",0.0467508215213024
"ANXA8L2","ANXA8L2",0.0442674708007875
"JAG2","JAG2",0.0423785351025227
"SLA","SLA",0.0411427653394731
"DIMT1L","DIMT1L",0.0409424821026362
"RNASE1","RNASE1",0.0406306114737829
"FARP1","FARP1",0.0396291502960227
"INHBA","INHBA",0.038303121558549
"CDH3","CDH3",0.0352758099835096
"APOBEC3F","APOBEC3F",0.0322308163595504
"CPM","CPM",0.0307550837999611
"FBXL13","FBXL13",0.0303366169637535
"CST2","CST2",0.0288391705442579
"SFRS5","SFRS5",0.0282420773474176
"APOBEC3C","APOBEC3C",0.0280735317889713
"MYH3","MYH3",0.0261818289241039
"RFX1","RFX1",0.0256660867204941
"F12","F12",0.0256516097182721
"RASGEF1B","RASGEF1B",0.024455085769333
"MT1X","MT1X",0.0218282992637005
"LOC728131","LOC728131",0.0211508442517921
"COPS5","COPS5",0.0203272372827183
"BPIL1","BPIL1",0.0202422121246261
"CHRNA3","CHRNA3",0.0196726255183546
"RPS25","RPS25",0.0194141835304629
"GPRC5A","GPRC5A",0.0177163792920399
"HLTF","HLTF",0.0164886791440982
"FLJ21511","FLJ21511",0.0158629589173517
"JARID1B","JARID1B",0.0147951080445333
"LIMS3","LIMS3",0.0145311194684755
"KLHL13","KLHL13",0.0137270099689788
"CCL19","CCL19",0.0129433759646916
"GGTA1","GGTA1",0.0119960014796836
"EBI2","EBI2",0.0119612932970696
"AQP7P2","AQP7P2",0.0118977547985812
"RALGPS2","RALGPS2",0.0110758343135935
"COL11A1","COL11A1",0.0109379450323943
"A2M","A2M",0.010691261049975
"C20orf19","C20orf19",0.00972109411911151
"ENG","ENG",0.00832570615585145
"BPIL2","BPIL2",0.00822690148737824
"GIMAP8","GIMAP8",0.00815413246781944
