"","var","rel.inf"
"PER1","PER1",3.88708114596756
"GLB1L","GLB1L",2.88209797515119
"KCNMB3","KCNMB3",2.33912154042159
"RCL1","RCL1",2.1792908148555
"ARID5A","ARID5A",2.03052300054573
"STAC2","STAC2",2.0038885409322
"SPRED1","SPRED1",1.9018505497433
"AMMECR1","AMMECR1",1.82517251845825
"CELP","CELP",1.7270539983419
"IFNGR1","IFNGR1",1.7102827824256
"MNDA","MNDA",1.71011524898209
"ENG","ENG",1.57981235139521
"TEX12","TEX12",1.57821144806144
"FOS","FOS",1.56024502389009
"CPM","CPM",1.42417180590948
"CAPRIN2","CAPRIN2",1.40898125899342
"SLC30A5","SLC30A5",1.38108814332244
"HTR1F","HTR1F",1.37681488097713
"ZNF740","ZNF740",1.35824941870616
"ART4","ART4",1.30883399457446
"ZFAND1","ZFAND1",1.27558519898182
"C12orf33","C12orf33",1.23811412805118
"CST4","CST4",1.17572099956009
"G6PC","G6PC",1.15711879369659
"SYN2","SYN2",1.13851718152919
"FMO5","FMO5",1.1333478217498
"PPP1R13B","PPP1R13B",1.09484517321926
"RPN1","RPN1",1.09006474794577
"UIMC1","UIMC1",0.998959416953143
"ZDHHC20","ZDHHC20",0.995774655954321
"KDELR1","KDELR1",0.882899809847502
"NRIP2","NRIP2",0.875843135250939
"LNX2","LNX2",0.817853736844011
"TMEM132B","TMEM132B",0.805805332048454
"`RP11-125A7.3`","`RP11-125A7.3`",0.789524026802859
"CYP46A1","CYP46A1",0.779190842970461
"LILRB5","LILRB5",0.749890066397907
"MMD","MMD",0.7494756024084
"DGAT2","DGAT2",0.749132796293007
"HYPE","HYPE",0.748945671873765
"WAC","WAC",0.743733422456185
"STAU2","STAU2",0.709203456175975
"SNTG2","SNTG2",0.692211608453087
"MYEF2","MYEF2",0.66679759615144
"SLC35A2","SLC35A2",0.658127709601528
"TNFRSF1B","TNFRSF1B",0.641632462664012
"SCYL2","SCYL2",0.640901552352956
"LGR4","LGR4",0.638200545748799
"C17orf73","C17orf73",0.624943499627296
"GGTA1","GGTA1",0.608884678137738
"RNF122","RNF122",0.600116744238779
"TBC1D4","TBC1D4",0.598273793445984
"CREM","CREM",0.589571584149494
"COPS5","COPS5",0.575306460094474
"GABARAPL1","GABARAPL1",0.574750837790719
"HS3ST2","HS3ST2",0.552075468018378
"CAP1","CAP1",0.54365225153424
"SLCO1C1","SLCO1C1",0.521128026514006
"CDH3","CDH3",0.519008402650422
"ZNF493","ZNF493",0.515350283452977
"STAT4","STAT4",0.513723881076365
"SLC39A9","SLC39A9",0.508168254221086
"SDF4","SDF4",0.501673393302482
"RASGEF1B","RASGEF1B",0.489030992138135
"RC3H1","RC3H1",0.465755094863388
"KLF15","KLF15",0.462097438949814
"KCNIP2","KCNIP2",0.459915090107093
"GPR6","GPR6",0.456826896764226
"PLEKHG5","PLEKHG5",0.442858781353188
"HSPH1","HSPH1",0.4410572220953
"TPD52","TPD52",0.440774449594502
"KIF2A","KIF2A",0.440164450982352
"ALDH3A1","ALDH3A1",0.435876591161323
"DDI2","DDI2",0.40991538443941
"TRIM59","TRIM59",0.400907110993707
"EIF2B2","EIF2B2",0.400709618746499
"FAM84B","FAM84B",0.388564558019374
"WSB2","WSB2",0.384528843394331
"REC8","REC8",0.380356110874641
"C16orf54","C16orf54",0.373134413238399
"G0S2","G0S2",0.365639947227983
"COL11A1","COL11A1",0.361841556333753
"PRKAB2","PRKAB2",0.361394541543518
"KIAA1462","KIAA1462",0.340201171363214
"NCOA7","NCOA7",0.32816210813617
"GFPT1","GFPT1",0.321001511241384
"FIGF","FIGF",0.32061449348594
"LBP","LBP",0.320052565679203
"CLEC12A","CLEC12A",0.317163634918999
"JUN","JUN",0.313948017649415
"SFRS5","SFRS5",0.31291712980293
"NOX4","NOX4",0.311287778009
"OXSM","OXSM",0.309735207126597
"PPEF1","PPEF1",0.282173549852351
"GALNT10","GALNT10",0.279828745657144
"NEK2","NEK2",0.275841023913368
"DLK2","DLK2",0.269716346600368
"C1orf55","C1orf55",0.267723247973586
"YWHAH","YWHAH",0.26409405753957
"EIF2AK1","EIF2AK1",0.261008108445002
"DIMT1L","DIMT1L",0.259896778266529
"A2M","A2M",0.258409671128561
"PNPLA5","PNPLA5",0.258314519184868
"RND3","RND3",0.257143153983847
"C9orf71","C9orf71",0.256126831497624
"DCX","DCX",0.244463197552518
"MGC12966","MGC12966",0.243501722347337
"ARRDC3","ARRDC3",0.24344912882559
"NTRK2","NTRK2",0.242945944139589
"TTYH2","TTYH2",0.239992970622364
"EBI2","EBI2",0.2365413157485
"LOC730092","LOC730092",0.224868275916312
"DDX23","DDX23",0.21707550135828
"EGR2","EGR2",0.215520244638229
"PCCB","PCCB",0.21535289297636
"KLK10","KLK10",0.214270774444389
"SLC26A10","SLC26A10",0.213458302419274
"TMCO3","TMCO3",0.211319654830148
"MATK","MATK",0.207762875078244
"C20orf199","C20orf199",0.207259247622572
"P4HA2","P4HA2",0.206474534976845
"DAPK2","DAPK2",0.204722310878181
"TGFBR2","TGFBR2",0.201703475360058
"FLJ21511","FLJ21511",0.200482880605683
"ZNF284","ZNF284",0.198744811268917
"HUWE1","HUWE1",0.197000864813229
"IL10","IL10",0.192860869266852
"SPOCD1","SPOCD1",0.180734018637239
"SPAG4","SPAG4",0.178070721706045
"SNF1LK","SNF1LK",0.176798280035592
"KLRC4","KLRC4",0.175777752889653
"EDIL3","EDIL3",0.174571020260485
"MIF","MIF",0.173886586619052
"ATP6V1D","ATP6V1D",0.172651234039735
"IL13","IL13",0.172054319538535
"SGK2","SGK2",0.169325510202818
"GPD2","GPD2",0.16619121835973
