"","var","rel.inf"
"TMEM87B","TMEM87B",0.0974193790269137
"C1RL","C1RL",0.0951791240743126
"TXNRD1","TXNRD1",0.0943127675693549
"APOBEC3F","APOBEC3F",0.0899801651131912
"ZFP36","ZFP36",0.0891288531454171
"FLJ21511","FLJ21511",0.089110596983732
"TRAF1","TRAF1",0.0881311461042569
"ABCA9","ABCA9",0.0841540607885224
"GMFG","GMFG",0.0823265261462064
"GABRE","GABRE",0.0795813586906054
"TNFRSF8","TNFRSF8",0.0786267379414497
"CYBA","CYBA",0.0775599864617551
"P2RY12","P2RY12",0.077478105902354
"PPP1R15A","PPP1R15A",0.075870333523428
"PATZ1","PATZ1",0.0728925935423312
"CCDC51","CCDC51",0.072146030999093
"DDX23","DDX23",0.0714060470905661
"FYN","FYN",0.0702408883372516
"KLRC3","KLRC3",0.0700645127845338
"INPP1","INPP1",0.0678296168553861
"PLCB2","PLCB2",0.0671244295985996
"C12orf51","C12orf51",0.0664750259564982
"DUSP2","DUSP2",0.0647300695766929
"SOCS3","SOCS3",0.0631463643044705
"MCTP2","MCTP2",0.0610688116820524
"ZNF281","ZNF281",0.0605946785594693
"CCL19","CCL19",0.0604084134670285
"RND3","RND3",0.0601628659580232
"COX6B2","COX6B2",0.0589560150976098
"ENG","ENG",0.0577014274968008
"PIK3CD","PIK3CD",0.0574831982252648
"KIF2A","KIF2A",0.0569940159112401
"IDE","IDE",0.0557608413614205
"MT1M","MT1M",0.0553291460804324
"SLA","SLA",0.0553088322606874
"PLEKHG1","PLEKHG1",0.055168162817653
"PPP1R13B","PPP1R13B",0.0543772186564338
"CREB3L4","CREB3L4",0.0540069584289351
"DAPK2","DAPK2",0.0525165980593445
"CLEC1A","CLEC1A",0.052399527111974
"C2orf7","C2orf7",0.0519620717837981
"BCDIN3D","BCDIN3D",0.0485602720125699
"PELI1","PELI1",0.0467514030273586
"E2F4","E2F4",0.0459239579213971
"AVPR2","AVPR2",0.0453161168153997
"RAB2A","RAB2A",0.0436318084313482
"RPAIN","RPAIN",0.0425481792455452
"UBXD2","UBXD2",0.0422942886501501
"KCNJ5","KCNJ5",0.0416799442008491
"EGR3","EGR3",0.0411647623121579
"ADH1C","ADH1C",0.0405165008583843
"TCF7","TCF7",0.0401928887243347
"ARRDC3","ARRDC3",0.0400814117617067
"RSPO3","RSPO3",0.0400414518378915
"SLC26A10","SLC26A10",0.039882203917129
"ANXA8L2","ANXA8L2",0.0388506025014329
"KLK10","KLK10",0.0375949655553232
"RPA3","RPA3",0.0373378246433582
"DMTF1","DMTF1",0.0370131065518195
"LPL","LPL",0.0365740161734792
"RAPGEF1","RAPGEF1",0.0362938157575907
"ABHD12","ABHD12",0.0354270199238137
"RNASE6","RNASE6",0.0349002702513544
"SAMD14","SAMD14",0.0346215254546087
"MRGPRX2","MRGPRX2",0.0345933972074118
"SGK","SGK",0.0330216344731415
"CDYL2","CDYL2",0.0307471225316359
"FGF2","FGF2",0.0299282860484845
"IL27RA","IL27RA",0.0295587916501859
"PHF8","PHF8",0.0281392800002784
"CLEC12A","CLEC12A",0.0278575807092505
"DLK2","DLK2",0.026378133394781
"NLRP1","NLRP1",0.0246380948178235
"SLC30A6","SLC30A6",0.0243400068781761
"HUWE1","HUWE1",0.024182739098291
"GALT","GALT",0.0236315915262242
"GAST","GAST",0.0221374061399973
"FAM84B","FAM84B",0.0216750572100683
"IFI16","IFI16",0.0191556220791363
"C9orf116","C9orf116",0.0187278437047455
"SPPL2A","SPPL2A",0.0185401113543375
"FMNL2","FMNL2",0.0184110660371567
"P2RY14","P2RY14",0.0176616280267618
"UGCGL1","UGCGL1",0.0173684494780152
"RPL13","RPL13",0.0172977360697942
"SHQ1","SHQ1",0.0170626943603371
"OXSM","OXSM",0.0168249881206425
"CX3CL1","CX3CL1",0.0156697736042735
"BAALC","BAALC",0.0150228269792816
"FRMD4A","FRMD4A",0.0149924104662362
"PLEKHG5","PLEKHG5",0.0140073106016395
"ARRDC2","ARRDC2",0.0138572929958515
"JAG2","JAG2",0.0131798063002051
"C14orf169","C14orf169",0.0130230273346561
"KIAA1462","KIAA1462",0.0126723233914135
"PPP1R14D","PPP1R14D",0.0121918531937996
"CH25H","CH25H",0.0116183747331142
"TMEM132B","TMEM132B",0.00955456221312659
"COL11A1","COL11A1",0.00932699339005958
"CACNB3","CACNB3",0.00922104233715927
"FLT3LG","FLT3LG",0.00912232255931525
"PLA2G4A","PLA2G4A",0.00779674822784333
"ZNF454","ZNF454",0.00772092137794812
"HBEGF","HBEGF",0.00738047453671298
"CTSL1","CTSL1",0.00719239642320195
"IL10","IL10",0.00706174154389344
"TNFAIP3","TNFAIP3",0.00637711194117841
"C7orf20","C7orf20",0.006116579063565
"TPD52","TPD52",0.00587622031883828
"TBC1D4","TBC1D4",0.0055748904925349
"ERGIC1","ERGIC1",0.00556559531848424
"CYP46A1","CYP46A1",0.00547438479988806
"SPRY2","SPRY2",0.00544218792921916
"CHPF","CHPF",0.00541792858132251
"GIMAP8","GIMAP8",0.00515034404556573
"MALL","MALL",0.0049674126222511
"GALNT2","GALNT2",0.00478821480621262
"RGS1","RGS1",0.00239987022402655
"GPRC5A","GPRC5A",0.00158022811538821
"SNTG2","SNTG2",0.0011713537447257
"PRKAB2","PRKAB2",0.000950384431799467
"METTL7A","METTL7A",0.00088046851502996
"MS4A4A","MS4A4A",0.000880298870681718
"ADAMTS9","ADAMTS9",0.000343492197343658
"BIN1","BIN1",0.000263928254092744
"KLHL13","KLHL13",0
"TMEM180","TMEM180",0
"MAP1LC3C","MAP1LC3C",0
"DIMT1L","DIMT1L",0
"CD160","CD160",0
"MT1JP","MT1JP",0
"GYPC","GYPC",0
"GDF10","GDF10",0
"PTP4A2","PTP4A2",0
"NPR1","NPR1",0
"UIMC1","UIMC1",0
