"","mutO","mutX","MSE"
"UBE4A",2,256,1654348.03433866
"KCNJ12",2,256,1654348.03433866
"DDB2",2,256,1654348.03433866
"PIK3CD",2,256,1654348.09652071
"C22orf28",2,256,1654348.09652071
"AMOTL1",5,253,1654350.8596746
"CYP11B1",5,253,1654361.06122499
"OFD1",2,256,1654364.13164668
"NBEAL2",4,254,1654374.97173137
"SWT1",4,254,1654380.65577123
"PARVA",3,255,1654383.15269798
"CCDC84",2,256,1654388.09300812
"MOCOS",3,255,1654389.6997416
"RAD51B",2,256,1654396.15502362
"ZBED1",2,256,1654396.15502362
"RND1",2,256,1654396.15502362
"CCND2",2,256,1654396.15502362
"DNAJC1",2,256,1654396.15502362
"FAM18B2",2,256,1654396.15502362
"FRMD3",2,256,1654396.15502362
"LRRC14B",2,256,1654396.15502362
"MED4",2,256,1654396.15502362
"NAT1",2,256,1654396.15502362
"PKD2",2,256,1654396.15502362
"SLC35C1",2,256,1654396.15502362
"KRTAP5-1",3,255,1654402.78598571
"ABCA4",3,255,1654409.3251862
"ARG1",3,255,1654409.3251862
"TRIM25",3,255,1654409.3251862
"ROBO3",2,256,1654412.14327459
"CD1D",2,256,1654412.14327459
"MEGF8",9,249,1654412.84772164
"DDC",2,256,1654420.1315407
"DNM3",4,254,1654420.38893212
"TMPRSS6",2,256,1654428.05402132
"COL13A1",6,252,1654433.64262643
"SLC30A5",3,255,1654435.45584435
"PCDHB11",3,255,1654435.45584435
"KLC4",2,256,1654436.09635417
"LRRC28",2,256,1654444.07290153
"PUS1",1,257,1654456.72388622
"GRIK5",1,257,1654456.72388622
"RPL13A",1,257,1654456.72388622
"AJAP1",1,257,1654456.72388622
"PAPD7",1,257,1654456.72388622
"HEXDC",1,257,1654456.72388622
"TMEM175",1,257,1654456.72388622
"HFE2",1,257,1654456.72388622
"PNMA2",1,257,1654456.72388622
"AGRP",1,257,1654456.72388622
"GPC4",1,257,1654456.72388622
"HEXIM2",1,257,1654456.72388622
"KIAA1609",1,257,1654456.72388622
"SPATA20",1,257,1654456.72388622
"PCDHA11",6,252,1654456.84360773
"C4orf21",5,253,1654457.66053865
"CYSLTR1",4,254,1654460.02563633
"RLTPR",5,253,1654462.72890278
"TBC1D21",3,255,1654468.06034352
"OR2F1",3,255,1654487.59167047
"IFT172",4,254,1654488.27851279
"CENPI",4,254,1654493.92318257
"TNIK",4,254,1654493.92318257
"PTCHD3",3,255,1654494.09688403
"DDB1",6,252,1654498.41448259
"SALL4",5,253,1654513.32558752
"SERPINA12",3,255,1654513.59683843
"LONP1",2,256,1654515.68604651
"HMGXB4",4,254,1654522.11700391
"DAP3",3,255,1654526.58373613
"GPR153",2,256,1654531.55710998
"C3AR1",2,256,1654531.55710998
"OR6B3",2,256,1654531.55710998
"FAM98B",4,254,1654533.38075291
"GDI1",4,254,1654539.00967466
"GBP6",3,255,1654546.04447484
"MEF2B",2,256,1654547.35112343
"PRTG",2,256,1654555.33440831
"EDNRA",2,256,1654563.25236192
"VAV1",3,255,1654578.42675179
"SMYD1",2,256,1654579.07655039
"OR5T3",2,256,1654586.98278525
"HPGDS",2,256,1654586.98278525
"CCDC83",2,256,1654586.98278525
"NMT2",2,256,1654586.98278525
"C3orf30",4,254,1654589.58138772
"RBBP8",3,255,1654591.36136191
"F10",3,255,1654591.36136191
"ALKBH8",3,255,1654591.36136191
"ORC1",3,255,1654591.36136191
"POLE3",3,255,1654591.36136191
"SLC6A17",3,255,1654591.36136191
"TRAPPC11",3,255,1654591.36136191
"USP32",3,255,1654591.36136191
"ZNF518A",3,255,1654591.36136191
"SNX3",2,256,1654594.88511386
"SLC12A2",4,254,1654600.79789263
"BLK",2,256,1654610.67805233
"NOD1",3,255,1654620.35096519
"UBAP2L",4,254,1654623.20728041
"CHRNA1",2,256,1654634.33816315
"AKR1C2",2,256,1654634.33816315
"IGBP1",2,256,1654634.33816315
"RC3H2",4,254,1654639.99365196
"ZNF91",2,256,1654642.21705426
"MAP3K10",2,256,1654650.03100775
"KIAA1024",2,256,1654650.09203912
"KIAA1328",3,255,1654655.87754978
"PROSER1",7,251,1654658.1957618
"HIST1H2AE",2,256,1654665.83029009
"TSSK1B",2,256,1654665.83029009
"OS9",2,256,1654673.6935562
"PRRC2C",5,253,1654684.17170696
"FAM65C",3,255,1654694.46177231
"XIAP",3,255,1654700.88332573
"ALOX12",3,255,1654710.43614531
"MTHFD1",3,255,1654720.13229974
"ELAVL3",1,257,1654724.41224022
"GGPS1",1,257,1654724.41224022
"HNF4A",1,257,1654724.41224022
"LINC00516",1,257,1654724.41224022
"SNORD115-29",1,257,1654724.41224022
"STAU2",1,257,1654724.41224022
"ATF3",1,257,1654729.89856122
"CCDC24",1,257,1654729.89856122
"POU2F3",1,257,1654729.89856122
"TSR2",1,257,1654729.89856122
"PSG9",3,255,1654732.95187719
"CCDC147",4,254,1654734.78177837
"FTL",2,256,1654736.45906008
"ZFC3H1",5,253,1654749.01221926
"ST5",3,255,1654752.16163551
"KIF5B",4,254,1654757.00218977
"ME3",3,255,1654758.55965952
"DROSHA",4,254,1654762.55237136
"PTPN14",3,255,1654774.46897705
"SYK",3,255,1654774.46897705
"AQP12A",2,256,1654775.5
"ZCCHC16",3,255,1654777.7380453
"VCAN",6,252,1654778.18512366
"ZNF90",2,256,1654783.36912548
"C4orf29",2,256,1654783.36912548
"SLC28A2",3,255,1654784.1256118
"PSMC6",4,254,1654784.73341268
"ESR1",4,254,1654790.27375175
"H2BFM",2,256,1654791.17379784
"ZNF425",3,255,1654796.89290166
"POTEF",8,250,1654806.61765891
"CHN2",2,256,1654806.71099806
"TGFBR2",2,256,1654822.29305959
"BTNL2",2,256,1654822.35342478
"EEF2K",4,254,1654834.52559818
"FAM47B",6,252,1654837.14920943
"WDR35",2,256,1654837.91980075
"USHBP1",2,256,1654837.91980075
"FAN1",2,256,1654837.91980075
"C17orf97",2,256,1654837.91980075
"SLC4A10",2,256,1654837.91980075
"NRCAM",4,254,1654845.56887475
"SEMA5B",1,257,1654856.57548337
"ADAM9",1,257,1654856.57548337
"IFFO1",1,257,1654856.57548337
"NPTXR",1,257,1654856.57548337
"PSMD14",1,257,1654856.57548337
"REG3G",1,257,1654856.57548337
"ALDH3B2",3,255,1654860.57248822
"CYP11A1",2,256,1654869.00567769
"ATPAF1",2,256,1654869.00567769
"COL2A1",2,256,1654869.00567769
"USP47",2,256,1654869.00567769
"ZNF257",2,256,1654869.00567769
"ZNF292",6,252,1654886.8672942
"PLS3",2,256,1654892.27906977
"ZCCHC6",6,252,1654909.4135136
"PCDH19",4,254,1654911.66317982
"UTRN",6,252,1654913.91878922
"CEACAM20",2,256,1654915.5173056
"SNX18",2,256,1654915.5173056
"PAM",2,256,1654915.5173056
"FAM123C",2,256,1654915.5173056
"NUDT11",2,256,1654915.5173056
"ZNF506",2,256,1654915.5173056
"MINK1",4,254,1654928.14246475
"ANAPC1",3,255,1654930.31807266
"USP29",2,256,1654930.98993157
"DGKG",4,254,1654933.63162272
"NES",6,252,1654940.92266519
"FAM127C",1,257,1654944.06174404
"GDPGP1",1,257,1654944.06174404
"MAP2K7",1,257,1654944.06174404
"RNF44",1,257,1654944.06174404
"SI",6,252,1654949.91337517
"OR2D2",2,256,1654954.10972323
"POTEA",2,256,1654961.8883085
"PRX",2,256,1654961.8883085
"ACAD9",3,255,1654961.91603587
"CDK5RAP1",3,255,1654968.22778538
"ADAMTS20",4,254,1654972.00061039
"PHLDB2",4,254,1654972.00061039
"ZMYM6",4,254,1654972.00061039
"ZNF202",2,256,1654977.31405947
"KCNA3",3,255,1654980.84344125
"CAPN2",2,256,1654985.02107558
"ILDR1",2,256,1654985.02107558
"CLSTN3",2,256,1654985.02107558
"CYP4X1",2,256,1654985.02107558
"CERCAM",2,256,1654985.02107558
"COL5A2",3,255,1654987.14734762
"ZNF667",2,256,1655008.05904797
"OCRL",5,253,1655010.59678279
"TMTC2",3,255,1655015.40942392
"CHRNA7",4,254,1655015.73277178
"TLR8",6,252,1655026.12078565
"AGTPBP1",4,254,1655026.64612708
"CAMTA2",5,253,1655032.50754665
"TNKS1BP1",3,255,1655037.48448092
"SPIRE1",2,256,1655038.86081335
"PDE1B",3,255,1655043.76485788
"KIAA0146",3,255,1655043.76485788
"ITFG3",4,254,1655048.44921565
"KLHL34",4,254,1655048.44921565
"RBMS3",3,255,1655056.31776866
"CHGB",5,253,1655059.4543371
"TPM2",5,253,1655059.4543371
"SMOX",2,256,1655061.87639293
"PHF20L1",3,255,1655068.86022192
"CRNKL1",3,255,1655068.86022192
"NDE1",3,255,1655068.86022192
"ZNF79",3,255,1655068.86022192
"GINM1",2,256,1655069.54044029
"SYNE3",3,255,1655075.12752698
"DEGS1",3,255,1655075.12752698
"SERPINE3",2,256,1655077.14121548
"BCAT2",3,255,1655078.1873537
"LILRB5",4,254,1655081.09479338
"NUP155",4,254,1655086.52883324
"PTCHD1",6,252,1655101.84245417
"MYH13",9,249,1655104.09763083
"BTN3A2",2,256,1655107.74283854
"ENTPD4",2,256,1655107.80208333
"PCDHGA1",3,255,1655112.67645539
"CBX2",3,255,1655112.67645539
"SLC22A25",2,256,1655115.44269319
"CPT1A",3,255,1655118.9254598
"CLN3",3,255,1655131.41562548
"EPHB4",2,256,1655138.34108527
"RALGAPB",4,254,1655146.17335042
"HIRA",3,255,1655156.36458428
"INPP5F",4,254,1655156.99221754
"URI1",2,256,1655168.75858467
"ANKRD36",3,255,1655168.82337741
"LUZP4",3,255,1655168.82337741
"KIAA1211L",2,256,1655176.42694707
"ODZ3",5,253,1655178.39338174
"ADAMTSL4",4,254,1655178.60632973
"XKR3",2,256,1655184.03240068
"AADAC",2,256,1655191.63394804
"VPS13C",2,256,1655191.63394804
"ASB17",2,256,1655191.63394804
"ARAP2",2,256,1655191.63394804
"CXADR",2,256,1655191.63394804
"FMNL2",2,256,1655191.63394804
"NSD1",4,254,1655194.79624458
"CDON",2,256,1655199.23158915
"DNAJC6",2,256,1655199.23158915
"DSTYK",2,256,1655199.23158915
"ZNHIT6",2,256,1655199.23158915
"FAM13C",3,255,1655199.9246086
"PDE8A",2,256,1655206.82532401
"LILRA1",5,253,1655214.7360603
"USP39",4,254,1655216.35523866
"ETNK2",3,255,1655218.55397477
"HMGCS1",2,256,1655222.00107498
"CHD2",2,256,1655222.00107498
"DDX46",2,256,1655222.00107498
"ZDHHC15",2,256,1655222.00107498
"SPATA21",3,255,1655224.75853473
"BRD9",3,255,1655224.75853473
"LGI2",2,256,1655229.52433079
"FAIM3",2,256,1655229.52433079
"LSM11",2,256,1655229.52433079
"MOGS",3,255,1655240.18644171
"PFKFB4",2,256,1655244.67670482
"KIR2DL4",4,254,1655248.63467466
"WNT5B",2,256,1655252.30570191
"ARHGEF19",4,254,1655254.0076909
"BCR",4,254,1655259.37873863
"PPP2R3C",3,255,1655261.93099255
"ODAM",2,256,1655267.43457788
"AHNAK",9,249,1655267.62102674
"CAMK2A",3,255,1655268.11725186
"SLC37A1",4,254,1655275.48007081
"A2M",3,255,1655277.31986624
"ZNF485",3,255,1655280.48192734
"HAO1",3,255,1655280.48192734
"VANGL2",5,253,1655286.9670558
"OR2W5",2,256,1655290.09859496
"FAT1",6,252,1655292.03256122
"ARHGAP24",3,255,1655292.83614531
"PCDH12",1,257,1655294.31179682
"ZNF511",1,257,1655294.31179682
"E2F2",1,257,1655294.31179682
"HEG1",6,252,1655296.42408023
"SEMA5A",5,253,1655296.57097772
"NEK1",5,253,1655298.87795447
"GBP4",4,254,1655318.33034243
"PDCD1",3,255,1655329.83605411
"CYP2B6",2,256,1655335.26282401
"ZNF786",3,255,1655348.30071439
"NLRC3",3,255,1655348.30071439
"IGHMBP2",2,256,1655350.36409884
"MAN2C1",2,256,1655350.36409884
"SRRT",2,256,1655350.36409884
"ZFPL1",2,256,1655350.36409884
"ZPLD1",3,255,1655354.4503724
"FAM153B",4,254,1655355.72098364
"UBC",5,253,1655356.35956123
"CCDC144A",5,253,1655368.39881117
"RFX4",4,254,1655377.04375725
"OR5J2",4,254,1655377.04375725
"ZNF692",3,255,1655379.02286062
"RPH3A",5,253,1655387.49282103
"BRS3",2,256,1655387.90308563
"GOLGA1",3,255,1655391.29341845
"PCNXL3",3,255,1655391.29341845
"PSG6",3,255,1655391.29341845
"TRIM50",3,255,1655391.29341845
"HEPH",6,252,1655405.78216131
"PLXNB2",4,254,1655419.59481627
"MMP14",1,257,1655421.57267819
"CSH1",1,257,1655421.57267819
"MIR616",1,257,1655421.57267819
"UBXN11",3,255,1655421.92406141
"KDM5B",2,256,1655425.34441618
"DRAM1",2,256,1655425.34441618
"LDLRAP1",2,256,1655425.34441618
"TREH",2,256,1655425.34441618
"TRIOBP",4,254,1655430.21289599
"FOXJ3",5,253,1655430.36185311
"PCF11",3,255,1655434.15801794
"UPB1",3,255,1655440.27107463
"NOLC1",2,256,1655440.29360465
"UGGT2",8,250,1655447.54108527
"CTCF",9,249,1655459.55626122
"SMCR7L",2,256,1655462.68809048
"KLHL24",2,256,1655462.68809048
"CLNK",2,256,1655462.68809048
"PRICKLE2",3,255,1655464.69715762
"OR5AS1",4,254,1655467.31416712
"LUZP1",2,256,1655470.14510659
"GPD2",2,256,1655470.14510659
"FZD3",3,255,1655470.79714242
"GDPD2",3,255,1655470.79714242
"IQSEC2",5,253,1655473.10282195
"BANP",2,256,1655477.54045543
"CORIN",3,255,1655489.08141055
"TMX1",1,257,1655490.0784846
"C7orf49",1,257,1655490.0784846
"PPP1R15A",1,257,1655490.0784846
"ZNF394",1,257,1655490.0784846
"C17orf104",1,257,1655490.0784846
"FAM110B",1,257,1655490.0784846
"HCAR2",1,257,1655490.0784846
"ZNF323",1,257,1655490.0784846
"CLDN4",1,257,1655490.0784846
"TRIM16L",1,257,1655490.0784846
"OR2L13",1,257,1655490.0784846
"RPS6KA5",1,257,1655490.0784846
"GLUL",1,257,1655490.0784846
"MYO1B",1,257,1655490.0784846
"CASKIN2",1,257,1655490.0784846
"CRTC1",1,257,1655490.0784846
"TRPM5",1,257,1655490.0784846
"ARAP1",1,257,1655490.0784846
"USP20",1,257,1655490.0784846
"KLHL17",1,257,1655490.0784846
"PHKB",1,257,1655490.0784846
"ACTR1A",1,257,1655490.0784846
"PLS1",1,257,1655490.0784846
"DGCR2",1,257,1655490.0784846
"SNAPC4",1,257,1655490.0784846
"ADAD2",1,257,1655490.0784846
"B4GALNT4",1,257,1655490.0784846
"MEN1",1,257,1655490.0784846
"SLC37A2",1,257,1655490.0784846
"TEAD1",1,257,1655490.0784846
"ZFYVE28",1,257,1655490.0784846
"NCOA7",1,257,1655490.0784846
"CDK13",1,257,1655490.0784846
"NPL",1,257,1655490.0784846
"FBXL6",1,257,1655490.0784846
"SAG",1,257,1655490.0784846
"GH2",1,257,1655490.0784846
"HUS1",1,257,1655490.0784846
"IQGAP1",1,257,1655490.0784846
"GALNTL4",1,257,1655490.0784846
"CSN3",1,257,1655490.0784846
"MYSM1",1,257,1655490.0784846
"PGS1",1,257,1655490.0784846
"C21orf2",1,257,1655490.0784846
"RFXANK",1,257,1655490.0784846
"ASB13",1,257,1655490.0784846
"CYFIP1",1,257,1655490.0784846
"ABLIM2",1,257,1655490.0784846
"VEZF1",1,257,1655490.0784846
"COL10A1",1,257,1655490.0784846
"APC2",1,257,1655490.0784846
"ATP1B4",1,257,1655490.0784846
"FGF8",1,257,1655490.0784846
"KIRREL2",1,257,1655490.0784846
"LECT1",1,257,1655490.0784846
"LRRC48",1,257,1655490.0784846
"MIR525",1,257,1655490.0784846
"MRI1",1,257,1655490.0784846
"MRPL55",1,257,1655490.0784846
"PPP2R1A",1,257,1655490.0784846
"NGLY1",1,257,1655490.0784846
"LSM14B",1,257,1655490.0784846
"OR52J3",1,257,1655490.0784846
"MIF4GD",1,257,1655490.0784846
"C7orf63",1,257,1655490.0784846
"DNAJB14",1,257,1655490.0784846
"NIT2",1,257,1655490.0784846
"P4HB",1,257,1655490.0784846
"RBM44",1,257,1655490.0784846
"ITGAM",1,257,1655490.0784846
"LIMK2",1,257,1655490.0784846
"MEOX2",1,257,1655490.0784846
"CRIP1",1,257,1655490.0784846
"ZNF622",1,257,1655490.0784846
"MARCH6",1,257,1655490.0784846
"JAG2",1,257,1655490.0784846
"VPS51",1,257,1655490.0784846
"ERGIC3",1,257,1655490.0784846
"ANKRD36B",1,257,1655490.0784846
"GMEB1",1,257,1655490.0784846
"EFS",1,257,1655490.0784846
"LGALS3BP",1,257,1655490.0784846
"EPX",1,257,1655490.0784846
"WDR5",1,257,1655490.0784846
"SGSH",1,257,1655490.0784846
"KCNK4",1,257,1655490.0784846
"FBXL7",1,257,1655490.0784846
"GPR77",1,257,1655490.0784846
"UPP1",1,257,1655490.0784846
"CDAN1",1,257,1655490.0784846
"NTN3",1,257,1655490.0784846
"PMP22",1,257,1655490.0784846
"NSG1",1,257,1655490.0784846
"OR10X1",1,257,1655490.0784846
"HEXA",1,257,1655490.0784846
"C16orf5",1,257,1655490.0784846
"DDX59",1,257,1655490.0784846
"GPR113",1,257,1655490.0784846
"ZNF876P",1,257,1655490.0784846
"LMCD1",1,257,1655490.0784846
"CCT5",1,257,1655490.0784846
"TRIP13",1,257,1655490.0784846
"SLC1A7",1,257,1655490.0784846
"DARS2",1,257,1655490.0784846
"KLHL26",1,257,1655490.0784846
"SHC1",1,257,1655490.0784846
"TMCO7",1,257,1655490.0784846
"TSPYL2",1,257,1655490.0784846
"AGXT2L2",1,257,1655490.0784846
"ENPP7",1,257,1655490.0784846
"NUDCD1",1,257,1655490.0784846
"MRPS2",1,257,1655490.0784846
"C3P1",1,257,1655490.0784846
"POLD1",1,257,1655490.0784846
"SLC22A7",1,257,1655490.0784846
"SH3GL1P1",1,257,1655490.0784846
"ACSF3",1,257,1655490.0784846
"CCDC120",1,257,1655490.0784846
"TAF1A",1,257,1655490.0784846
"LAMP5",1,257,1655490.0784846
"CACNG7",1,257,1655490.0784846
"LRRC17",1,257,1655490.0784846
"NINJ1",1,257,1655490.0784846
"SMARCAD1",1,257,1655490.0784846
"PCCB",1,257,1655490.0784846
"PHPT1",1,257,1655490.0784846
"EPC1",1,257,1655490.0784846
"B9D1",1,257,1655490.0784846
"C20orf112",1,257,1655490.0784846
"CREB3L4",1,257,1655490.0784846
"FAM69B",1,257,1655490.0784846
"GCGR",1,257,1655490.0784846
"DBX1",1,257,1655490.0784846
"GUCY2D",1,257,1655490.0784846
"RBM42",1,257,1655490.0784846
"BTAF1",1,257,1655490.0784846
"SDC3",1,257,1655490.0784846
"SSH3",1,257,1655490.0784846
"DLGAP5",1,257,1655490.0784846
"C11orf80",1,257,1655490.0784846
"EMILIN1",1,257,1655490.0784846
"RNF126",1,257,1655490.0784846
"RRN3",1,257,1655490.0784846
"ST7",1,257,1655490.0784846
"KAT2A",1,257,1655490.0784846
"SLC25A10",1,257,1655490.0784846
"DPY19L1",1,257,1655490.0784846
"RHOXF1",1,257,1655490.0784846
"CT47B1",1,257,1655490.0784846
