"","number","idx","exp","MSE"
"C7orf44",13071,21,-1.75983333333334,1552962.58818939
"C1orf173",11439,221,2.55635,1553072.46485148
"C7orf36",5732,218,0.44625,1553153.22639417
"PIH1D2",14743,232,1.597875,1553579.69687935
"C7orf54",3063,208,-0.05535,1553715.14566442
"FBXL2",14577,192,1.86158333333333,1553961.27610285
"ITFG1",10621,20,-0.986999999999999,1554920.0911325
"FSD1L",11846,186,0.214375,1555244.54129107
"KIAA0174",16446,30,-0.54685,1555613.56960764
"IRF4",10353,29,-2.8761875,1555849.13630851
"CCL3",4276,118,2.7519375,1555866.47855435
"LRRC33",13125,97,-0.971874999999999,1556003.36355979
"EPB41L3",9162,25,-1.502875,1556043.74648701
"ADAT2",12055,228,-1.14641666666667,1556105.55847338
"KCNAB1",2631,137,0.717666666666666,1556308.31884796
"SLC16A5",13167,193,1.089625,1556506.41466148
"HSPA8",11081,65,-0.779520833333334,1556660.47633234
"SLA2",2770,21,-1.430125,1556703.40790427
"MAP7D1",1011,35,-0.2650625,1556820.04709762
"CCL13",16222,27,1.91966666666667,1556930.05661264
"IDH3B",10815,20,-1.24125,1557030.77102469
"CA11",8817,20,-1.0226875,1557124.93085141
"CYGB",3927,37,-0.26275,1557436.04806572
"LOC654780",4087,34,0.2745,1557970.28233401
"UBE2G1",15195,90,-0.283875,1557996.92412364
"ZNRF2",14512,235,1.78358333333334,1558100.92777007
"ARF5",733,207,0.569299999999999,1558165.984671
"SNCA",412,65,-3.452625,1558235.7987531
"SGCG",8117,73,-2.89566666666667,1558257.65415061
"CC2D1A",10091,214,0.407812499999999,1558297.27161776
"KIAA1909",10831,176,0.655625,1558573.79035744
"EHBP1L1",298,24,-1.3935,1558724.9636131
"RPL27A",16980,84,-0.13975,1558752.17299892
"DNER",4265,22,-4.90854464285715,1558921.03157959
"SNAG1",1841,56,0.142166666666667,1559094.58671795
"PEAR1",3224,74,0.354416666666667,1559180.89162875
"LONP1",8791,34,-1.5635,1559322.36139339
"SETD7",1971,189,1.1421875,1559515.47297423
"hCG_21078",12781,208,0.61875,1559776.15014231
"COMP",711,227,4.9566875,1559812.62939526
"GRAMD2",8841,123,1.65795,1559959.57526383
"POLR2J2",14953,174,-0.407416666666667,1559997.49510777
"SLC7A14",10054,111,-1.39541666666666,1560137.89110452
"C6orf126",11031,208,1.938875,1560578.75208635
"FCGRT",11427,74,1.5405,1560580.80155358
"C2orf44",8892,229,-0.1725,1560649.62333061
"LRRIQ1",835,152,0.141916666666668,1560700.21006666
"KIR3DL3",13930,227,-0.144,1561107.79178312
"BBS5",11648,233,1.1351,1561319.68762821
"MAPK9",14316,60,-0.1535,1561630.03734543
"MTMR8",7879,23,-1.6005,1561794.23537494
"CNP",17132,85,-0.4185,1561863.66288084
"CIRH1A",5174,24,-2.02541666666666,1561988.57237782
"AHSA1",6083,65,-0.927125,1562004.72068429
"LRMP",761,24,-1.90558333333333,1562018.34180166
"ALK",16343,82,-1.6375,1562077.09742132
"TEX261",5652,25,-0.43525,1562104.89758925
"HSP90AA1",12440,117,-0.24275,1562128.2363164
"BAHCC1",6610,234,0.362333333333333,1562271.56513748
"LOC255374",16731,235,1.251,1562385.8161214
"PLCL2",4524,64,-0.7841875,1562437.74957794
"SHANK1",10176,24,-0.3595,1562618.34101902
"FAM50B",13805,87,1.61366666666667,1562775.29691114
"TLR4",6273,59,1.11265,1562806.00601362
"PHIP",3842,219,0.495,1563263.8603072
"WBSCR17",5884,27,-1.49,1563452.60940151
"MAP2K1",15011,41,-0.818,1563534.05476108
"TSGA14",5566,196,-0.147666666666667,1563563.35688004
"PRKCQ",11709,31,-2.785,1563580.54558122
"RNF183",12963,235,3.44225,1563638.28033438
"CNOT1",4546,23,-1.03955,1563703.886425
"GPR64",5706,90,-1.16391666666667,1563931.81531586
"PI4KA",1221,20,-1.344,1564239.97047586
"MORN2",12871,232,1.4845,1564310.42586129
"OR8D1",11102,36,-0.43725,1564412.57188958
"KIAA1754L",12317,20,-2.34525,1564430.78405316
"ADAT1",13898,75,-1.12955,1564437.44445192
"CLEC4E",2289,22,1.89966666666666,1564639.79223851
"PRF1",11265,57,0.590750000000001,1564716.92479016
"NAP5",5648,234,2.174,1564866.94944676
"PIK3R5",6614,65,0.19125,1564925.19096462
"DIS3L2",16704,223,0.418166666666667,1564936.57146012
"XPC",4599,147,0.0723333333333334,1564999.1719097
"ZNF366",14317,64,2.453125,1565020.03152125
"PSAP",10412,20,-0.0831071428571432,1565282.63096215
"ISY1",14596,122,-0.277125,1565382.95339833
"CST6",14795,233,5.502875,1565394.07294317
"TPRKB",16075,212,0.0893749999999998,1565758.95478989
"CDSN",15452,165,0.144000000000001,1565823.76642668
"GALT",5192,36,-0.931050000000001,1565916.7191843
"PKNOX2",8739,29,-2.978,1566185.78133138
"IL2RB",17229,24,0.393500000000001,1566296.61041542
"C2orf15",9613,211,1.69775,1566307.33854254
"SSBP1",15087,234,-0.233499999999999,1566522.1040868
"ANKRD29",1842,20,-2.424625,1566607.33188554
"IL8RA",15449,21,0.239333333333333,1566712.87837074
"NPTXR",6518,219,1.161625,1566721.98533439
"MOSPD2",12054,37,-0.507000000000001,1566802.51554417
"KIF2A",6755,64,-1.5425,1566901.64370993
"C10orf84",1186,208,1.30321875,1566915.45003781
"ETAA1",1886,231,0.0194999999999993,1567081.19551331
"ZNF677",13480,22,-0.809499999999999,1567091.26608617
"HECW2",10115,90,0.316830357142857,1567138.39805125
"SLAMF6",4876,83,-0.0166249999999996,1567201.44458979
"ZMAT1",5024,235,2.6749375,1567228.45278962
"LILRB5",12739,28,1.109125,1567334.59393808
"CCDC123",16630,232,1.215375,1567386.6467899
"GRK5",8814,33,-0.684833333333333,1567455.90364733
"SYNC1",6104,222,0.1938125,1567455.90364733
"LSM8",11598,196,-0.684916666666667,1567630.57276132
"TLN1",6573,24,-0.0929000000000005,1567641.74043017
"MGC119295",14476,227,-0.26405,1567827.08028016
"MGC87631",8214,224,1.09725,1567861.65855042
"DPM1",9361,20,-1.5195,1567896.19473487
"LOC401431",4772,144,0.446375,1568075.6184501
"OSGEP",244,211,0.237083333333333,1568550.66499982
"GAL3ST4",13789,20,-0.31975,1568626.23724676
"IFT81",8513,218,0.0846000000000003,1568961.07752309
"SLC35F2",3115,167,-1.0335625,1569022.89516138
"S100A8",10297,217,3.4207,1569034.314495
"MCCC1",7126,25,-0.959666666666667,1569201.64768407
"TRIM7",12576,167,-1.5925625,1569273.7290467
"CASC1",6362,233,4.515875,1569316.80812311
"E2F4",389,23,-1.57215,1569325.91395994
"ITGAE",5339,31,-1.4225,1569327.54136442
"HSP90AB6P",2877,112,-0.3515,1569431.61010531
"RAB3GAP1",7733,42,0.05,1569608.86722499
"ZNF202",16300,190,-0.413750000000001,1569702.88894
"NENF",287,232,1.36008333333333,1569706.32929462
"CRYBB1",14799,39,-1.6305,1569776.95334406
"F8A1",136,24,-0.216666666666667,1569857.17957
"B3GALT6",9513,213,0.4043125,1569862.59058144
"RGS3",14167,43,-0.0964166666666662,1569937.47586083
"CD247",5133,28,-2.39575,1569946.96988781
"SEPT4",10374,46,1.803625,1569969.77922665
"SPTBN1",13215,87,-0.00930000000000017,1569977.90256694
"CYB5B",644,22,-1.83766666666667,1570010.60338356
"C6orf206",11489,20,0.320749999999997,1570042.57598691
"LARP2",10498,235,0.777208333333334,1570069.70981594
"PIWIL3",13156,227,0.169083333333333,1570112.30897961
"CCR1",10404,20,-1.53885,1570148.36777897
"PIK3R3",16491,237,2.35825,1570183.27097205
"SNAPC5",5100,29,-0.673625,1570196.93895801
"FBXO46",4674,224,1.61275,1570460.58291705
"TMEM22",6233,43,-2.49808333333333,1570461.63865481
"NAALADL1",4528,30,-0.331499999999998,1570473.30303278
"ELMO2",1,28,-0.350916666666667,1570515.00298401
"SERPINA3",986,214,3.078175,1570561.70351554
"MYSM1",13667,66,-0.550625,1570592.35648617
"YWHAH",15465,162,0.785625,1570647.70498053
"FLJ33590",12886,21,-0.15825,1570699.60106723
"KIAA0196",10086,63,0.0303749999999994,1570799.49039195
"SAMHD1",621,40,0.37125,1570969.78686483
"FAM49A",9110,48,1.35,1571039.70183878
"CADM1",17025,235,0.699100000000001,1571130.39794078
"CENTB1",11872,22,-0.789583333333333,1571155.57788219
"CDH3",15708,93,0.5825,1571196.92842179
"RIN3",1710,34,-0.286125,1571220.05695781
"MATN2",1931,20,-2.119,1571290.56737509
"TAOK1",12933,209,1.705,1571322.7611388
"CALM1",16152,67,0.661999999999999,1571396.22491403
"BTNL9",16292,38,-0.0979500000000002,1571427.7015235
"P2RY2",14439,164,2.59675,1571531.3876573
"USP10",14247,20,-1.466375,1571588.12507166
"AGPAT2",6147,43,-0.680416666666667,1571689.21164593
"ZNF14",12647,230,1.685875,1571692.78714056
"MAPK14",1352,78,-0.685041666666667,1571718.69683463
"WDR75",5651,233,-0.0295000000000004,1571768.75399465
"RCSD1",13213,60,-1.0475,1571776.39800915
"TERF2IP",8811,21,-0.370624999999998,1571800.67660444
"LEMD3",1530,23,-0.323416666666666,1571850.71623174
"CCDC69",7418,50,-0.45825,1571879.79427251
"ALOX5AP",611,22,1.84666964285715,1571901.00576916
"MTFMT",7965,43,-1.41875,1571958.67056066
"IL15RA",4775,38,-0.257,1571968.44196339
"PRO0132",12857,227,2.3085,1572021.81471041
"RPL31",9701,102,-0.3579375,1572029.28331989
"ENPP2",7001,37,0.234833333333334,1572193.60544086
"GTPBP3",10039,231,0.0729999999999991,1572251.72101982
"SULT4A1",1522,187,-0.714166666666666,1572273.36366322
"XRCC4",15508,23,-1.515625,1572358.05619976
"PZP",16165,35,0.0651249999999998,1572478.52321261
"MGC45438",7896,30,-0.953800000000001,1572503.18592751
"CPT1A",13970,20,-1.08775,1572521.38710833
"GRAP2",2200,22,-2.45545,1572551.79325976
"APC",16129,153,0.5720625,1572591.24730647
"LRG1",9641,236,3.19475,1572614.45142539
"DKFZp761B107",16581,226,1.16075,1572624.56254884
"COPS5",3885,56,-0.398083333333333,1572664.537213
"ZNF410",7913,230,0.79425,1572927.64154326
"PRAMEF2",14597,52,-1.549125,1572946.29642623
"RHBDL1",7059,199,1.85975,1572992.57439603
"TNRC15",723,230,1.3414375,1572994.91613591
"CD19",12663,20,-1.7065,1573033.93197674
"SLCO2B1",8808,64,2.32675,1573062.76568806
"PGS1",3228,26,-1.091,1573141.30338967
"TMBIM1",9310,26,-0.270562500000001,1573164.40622494
"NVL",8503,207,0.657125,1573179.0132456
"IQUB",12199,227,1.9315625,1573291.73329593
"PRPSAP1",10278,27,-0.975624999999999,1573600.06030404
"PTCD1",14993,227,0.254625,1573656.06431929
"TTC26",5427,217,0.239125000000001,1573671.09404705
"SAMSN1",8878,39,-2.74825,1573690.45184514
"COX6B2",10588,234,0.937625,1573705.72042707
"DLGAP2",4196,68,0.202821428571428,1573706.4228346
"PREX1",13938,227,2.56175,1573730.57838124
"PMP22CD",14772,163,0.160625,1573793.5518457
"CCL8",10487,22,2.5035,1573862.87328149
"PLAC8",17165,20,-5.19816666666667,1573873.41149762
"RBM38",2461,53,-1.07616666666667,1573894.30323455
"EGFL7",12179,20,-1.9805,1573925.20823399
"RBL2",1481,20,-0.336300000000001,1573933.8395528
"CRHBP",4540,34,-0.749375,1573967.32524271
"SBNO2",11025,196,0.80925,1574065.41727917
"PRRG4",5680,226,2.228,1574193.28943182
"AOAH",15105,56,2.44766666666666,1574219.70456838
"LRGUK",8810,227,0.868499999999999,1574246.90827126
"ZNF740",6950,100,-0.16325,1574330.23021746
"MYL2",15098,180,1.0175,1574413.62651563
"CES1",15141,57,-1.784,1574453.78915798
"SLAMF8",10186,32,2.0145,1574474.03326195
"GRID2",2959,222,0.548,1574483.89657074
"C22orf13",15396,61,-0.113916666666667,1574634.42562765
"TOX2",783,23,-3.5165,1574728.33927672
"NANOS3",4581,180,0.553666666666667,1574776.57083407
"ALDH3A2",6641,105,0.224499999999998,1574783.70339215
"RDH11",472,231,0.0124166666666664,1574811.53382363
