"","number","idx","exp","MSE"
"ZFP36",2503,142,0.925749999999999,1328730.59804538
"PELI1",1514,222,0.61725,1332035.98066434
"MAP3K1",3755,364,2.70075,1332790.73658824
"EGR3",1546,235,1.0775,1337320.98139473
"IL27RA",2448,306,0.443812500000001,1340686.65404885
"COG4",15475,34,-1.273,1347771.46794425
"AARS",6511,37,-1.62666666666667,1351036.63434621
"RPL36A",11977,328,0.29275,1351368.95564115
"RABL5",969,371,1.04875,1351680.33040856
"FBXL13",16179,347,0.12875,1353529.22164127
"TXNRD1",722,27,-2.1573,1355490.57346469
"ATP6V0D1",14110,28,-0.621916666666667,1358493.91749488
"HS3ST2",5242,59,0.647249999999997,1359048.90542378
"OSR1",16886,200,0.0374166666666648,1359072.16974884
"GNS",11223,20,-0.296125,1360721.00073613
"COL4A6",807,224,-2.14066666666667,1361262.04051621
"RBM16",641,377,0.955937499999999,1361339.71514684
"LRG1",9641,368,3.08724999999999,1362290.79905914
"RBM23",14198,29,-0.869785714285713,1363017.81060658
"NIP30",12293,22,-0.9565,1364312.87676719
"CTSL1",8303,20,-1.49925,1366526.06510288
"TMEM70",11471,77,-0.306625,1366900.13880905
"COX6B2",10588,370,0.937625,1367040.20532705
"GLIS3",9444,373,2.4626875,1368817.37124638
"ITFG1",10621,20,-1.0705,1369909.2857828
"CASC2",10267,341,0.951416666666666,1370175.12606082
"CPT1A",13970,27,-1.07475,1370663.68856771
"CELSR2",13885,361,0.594178571428572,1371631.44451973
"PXMP2",6789,192,-0.249375,1372823.05356106
"EBAG9",12510,20,-0.249333333333334,1372892.38409653
"EMP2",2314,379,1.81633333333332,1373395.63871111
"C6orf126",11031,381,2.809875,1373683.43238016
"RPL31",9701,230,-0.218437499999999,1373720.7693083
"RDBP",3610,70,-0.708125000000001,1374362.16384212
"C12orf54",12992,179,1.382,1374424.99866153
"GRAMD2",8841,224,1.65795,1374490.49876336
"MLYCD",1050,20,-0.794624999999997,1376228.79078357
"TRMT12",6272,203,0.52975,1377007.67105413
"RUNX1",5704,376,2.1958125,1377582.46513336
"KIAA0196",10086,89,0.0264999999999989,1378289.52399758
"STT3B",3275,54,-1.15,1378452.22747734
"ARID5A",8988,282,1.1895,1378590.27276208
"ZNF167",8048,237,0.60275,1378622.97955065
"RPS6",11457,303,0.555124999999996,1379251.57500112
"C12orf33",7127,242,0.512250000000002,1379384.26878624
"RPS28",8862,351,0.808416666666669,1379763.31421716
"HSP90AA1",12440,117,-0.378200000000001,1379807.20939345
"TOMM22",447,204,-0.3764375,1380184.28482579
"SUHW4",13917,362,1.827625,1380362.52933818
