"","mutO","mutX","MSE"
"C2orf56",2,402,1451191.03387148
"CES1",2,402,1451191.03387148
"PCIF1",2,402,1451191.03387148
"AATF",2,402,1451191.03387148
"C14orf101",2,402,1451191.03387148
"CCDC42B",2,402,1451191.03387148
"CST11",2,402,1451191.03387148
"IL36G",2,402,1451191.03387148
"JAZF1",2,402,1451191.03387148
"PDHX",2,402,1451191.03387148
"SPINT1",2,402,1451191.03387148
"PIGO",3,401,1451193.94465569
"OR5P2",3,401,1451193.94465569
"DENND2C",2,402,1451195.81178883
"GUSBP11",2,402,1451195.81178883
"CEP70",2,402,1451200.58721861
"KRT73",2,402,1451200.58721861
"UCHL5",2,402,1451200.58721861
"RAB22A",2,402,1451200.58721861
"ZNF708",2,402,1451200.58721861
"ZNF827",2,402,1451200.58721861
"ZSCAN16",2,402,1451200.58721861
"DNAH10",11,393,1451200.75574924
"ZNF99",3,401,1451201.75291557
"CR1",10,394,1451203.78392848
"RAB40C",2,402,1451210.13061549
"DRG1",2,402,1451210.13061549
"DYNC1I1",3,401,1451213.45283656
"KANSL3",3,401,1451213.45283656
"BCLAF1",3,401,1451213.45283656
"PTCHD4",4,400,1451224.19662748
"MTF2",4,400,1451224.19662748
"CSTF2",2,402,1451224.42705409
"LIM2",3,401,1451225.13779495
"COL16A1",6,398,1451228.09103065
"LARGE",6,398,1451228.09103065
"IGHG3",2,402,1451229.18755849
"NCDN",2,402,1451233.94557534
"HLA-DRB1",7,397,1451237.38400985
"MLLT10",4,400,1451237.6888552
"FAM166A",2,402,1451243.45414635
"YARS2",2,402,1451243.45414635
"ARHGEF10",3,401,1451244.5794754
"PLEKHG3",3,401,1451244.5794754
"FRMPD2",9,395,1451245.17518486
"ELK1",4,400,1451247.79490099
"DTX2P1-UPK3BP1-PMS2P11",2,402,1451248.20470051
"GAS2L3",3,401,1451248.46282396
"CDHR3",2,402,1451250.32048298
"PRR21",2,402,1451250.32048298
"PDP1",3,401,1451252.34451001
"MKNK2",2,402,1451252.95276711
"PDHA2",2,402,1451252.95276711
"PEAR1",4,400,1451257.88969678
"WWP1",2,402,1451262.44143761
"ZNF180",2,402,1451262.44143761
"ZNF441",2,402,1451262.44143761
"RAB3GAP2",9,395,1451263.22083246
"RBM27",2,402,1451267.18204152
"NSUN6",2,402,1451267.18204152
"CRX",3,401,1451267.8546291
"DNM1P46",6,398,1451269.42480347
"CAP1",3,401,1451271.7280026
"LHX5",2,402,1451271.92015787
"OR51G2",2,402,1451271.92015787
"RC3H2",5,399,1451272.00470979
"TFDP2",3,401,1451275.59971359
"C11orf63",2,402,1451276.65578666
"TACC1",6,398,1451280.4153171
"ARID5B",3,401,1451283.33814803
"FAM71A",3,401,1451283.33814803
"PIK3C3",2,402,1451283.49695212
"RNFT2",2,402,1451283.49695212
"ZNF574",2,402,1451286.11958155
"FASTKD2",3,401,1451287.20487148
"PFKFB3",3,401,1451287.20487148
"EIF5B",4,400,1451288.10658416
"SEZ6",2,402,1451290.84774765
"BTBD19",2,402,1451290.84774765
"YIF1B",2,402,1451290.84774765
"RRP9",2,402,1451290.84774765
"GLB1",2,402,1451295.57342619
"NCOA3",3,401,1451298.79506679
"LCTL",2,402,1451300.29661716
"KIAA1257",2,402,1451300.29661716
"CTAGE1",2,402,1451300.29661716
"CHPF",2,402,1451300.29661716
"HOXB2",2,402,1451300.29661716
"LZTR1",2,402,1451302.40020812
"SON",5,399,1451305.02187895
"ALG6",3,401,1451306.51355111
"STAG1",6,398,1451307.83297469
"ADRBK1",2,402,1451309.73553643
"EIF2AK1",3,401,1451310.3702995
"GDPD1",4,400,1451314.51707302
"LRRC33",4,400,1451314.8810396
"ERC1",5,399,1451319.98958287
"FRY",6,398,1451321.51039645
"AGBL1",3,401,1451321.93056962
"EPS8L3",3,401,1451321.93056962
"GSN",3,401,1451321.93056962
"RASL11A",3,401,1451321.93056962
"DDX26B",3,401,1451329.62910381
"SEMA4F",6,398,1451335.16688019
"POTEA",3,401,1451337.32098796
"RIMS1",4,400,1451338.24306312
"WDR60",4,400,1451341.57549505
"C10orf120",2,402,1451347.391711
"MRPL45",3,401,1451347.57282536
"SEC14L6",2,402,1451352.08753879
"EBF3",2,402,1451352.08753879
"TMEM205",2,402,1451352.08753879
"TUBA3FP",2,402,1451352.08753879
"TUBB2B",2,402,1451352.08753879
"OAS3",4,400,1451354.89272277
"DIAPH2",5,399,1451355.80981662
"GBP6",5,399,1451355.80981662
"PARP8",2,402,1451356.78087902
"CDKN2AIP",2,402,1451356.78087902
"NEK6",2,402,1451356.78087902
"SPP1",2,402,1451356.78087902
"ZNF430",2,402,1451356.78087902
"SETBP1",6,398,1451356.97370309
"SLITRK2",4,400,1451358.2189047
"AGT",3,401,1451360.35674016
"LRCH2",3,401,1451360.35674016
"RSAD2",2,402,1451361.47173169
"SREBF1",2,402,1451361.47173169
"CERS4",2,402,1451361.47173169
"OR4K2",4,400,1451364.86751856
"NRG3",3,401,1451368.02202415
"DROSHA",5,399,1451370.6923075
"KRT12",2,402,1451370.84597434
"TTC4",2,402,1451370.84597434
"TXNDC11",4,400,1451371.51113243
"TRIM38",2,402,1451372.9329405
"ATXN2L",6,398,1451373.29364438
"ACTR2",3,401,1451375.68065809
"ARHGAP11A",6,398,1451378.72692464
"ZNF560",4,400,1451381.46717822
"NUMBL",3,401,1451382.06408484
"C16orf59",2,402,1451382.29501626
"ORC2",2,402,1451384.88868159
"SYT9",3,401,1451385.88813445
"HDAC5",3,401,1451387.15614018
"SMG6",4,400,1451388.09829208
"XIAP",4,400,1451388.09829208
"CUX2",5,399,1451388.51821385
"VN1R2",2,402,1451389.56460889
"NANOS3",3,401,1451390.97797585
"XK",3,401,1451390.97797585
"PPFIA2",5,399,1451394.45216258
"TRIM29",3,401,1451394.79814902
"POLI",4,400,1451397.67502475
"APOA5",3,401,1451398.61665967
"UROC1",2,402,1451398.90900079
"HYAL2",2,402,1451398.90900079
"GAN",2,402,1451398.90900079
"DAP",2,402,1451398.90900079
"HS6ST3",2,402,1451398.90900079
"CEP72",3,401,1451402.43350781
"CLCN4",3,401,1451402.43350781
"PGK1",3,401,1451402.43350781
"FAM207A",2,402,1451405.65667332
"MYD88",2,402,1451405.65667332
"TPST1",1,403,1451406.54557404
"TAB2",2,402,1451408.24344244
"TOX3",2,402,1451408.24344244
"DNAJC19",2,402,1451408.24344244
"PRMT3",3,401,1451410.06221657
"GPR6",2,402,1451412.90693192
"ERI2",1,403,1451413.13311058
"AKR1C3",1,403,1451413.13311058
"ASIC5",1,403,1451413.13311058
"RAB1A",1,403,1451413.13311058
"NPR3",3,401,1451413.87407718
"ZHX1",5,399,1451415.1894042
"SPOCK1",2,402,1451417.56793385
"BRD8",2,402,1451417.56793385
"AMOTL2",2,402,1451417.56793385
"SLC6A8",3,401,1451417.68427529
"FBXW7",4,400,1451417.87642946
"NOP9",5,399,1451418.14785727
"SCN7A",7,397,1451419.66550579
"FUBP1",3,401,1451421.49281088
"ATP10D",3,401,1451425.29968396
"NF1",13,391,1451429.71295212
"PCDHAC2",6,398,1451430.17600171
"ZNF804B",5,399,1451430.30797787
"MYO16",6,398,1451432.87547266
"MCOLN1",3,401,1451432.90844259
"SF1",3,401,1451432.90844259
"ETF1",2,402,1451445.48170657
"LRPPRC",7,397,1451447.18553223
"SPARCL1",5,399,1451450.62467555
"EIF3A",3,401,1451451.90124524
"TXLNG",3,401,1451451.90124524
"C6orf10",4,400,1451454.13443069
"SAMD9L",6,398,1451454.44108952
"MYOF",6,398,1451457.13302279
"HCRTR1",2,402,1451459.40501084
"RCSD1",2,402,1451459.40501084
"LRRCC1",2,402,1451459.40501084
"SNX27",2,402,1451459.40501084
"BMI1",2,402,1451459.40501084
"CPA3",2,402,1451459.40501084
"DYNC2LI1",2,402,1451459.40501084
"PAPSS2",2,402,1451459.40501084
"WARS2",2,402,1451459.40501084
"CD38",3,401,1451459.48672872
"WDR69",2,402,1451461.47091892
"NOS2",5,399,1451462.40435247
"G3BP2",2,402,1451464.04113714
"HAPLN3",2,402,1451464.04113714
"PEX3",2,402,1451464.04113714
"ARFGAP2",2,402,1451464.04113714
"ZNF100",2,402,1451464.04113714
"IL16",3,401,1451465.8091364
"GPR179",7,397,1451466.04732452
"ZNF518A",4,400,1451470.56534035
"CLYBL",2,402,1451473.30592705
"ERVFRD-1",2,402,1451473.30592705
"DLL1",2,402,1451477.93459066
"CNTNAP2",8,396,1451479.53259388
"MBD6",5,399,1451480.04379265
"TUBA3E",4,400,1451480.40888614
"C1orf127",3,401,1451482.20327893
"PLXNC1",4,400,1451486.965
"CLRN2",3,401,1451489.76216225
"EPHB4",3,401,1451489.76216225
"ACAP1",2,402,1451496.42436949
"WBP11P1",2,402,1451505.65433353
"NCK2",2,402,1451505.65433353
"PFAS",4,400,1451509.87202351
"MYO19",4,400,1451509.87202351
"SLC12A9",2,402,1451514.87434732
"BORA",4,400,1451516.40563738
"CCNJL",3,401,1451523.69484293
"EIF4ENIF1",3,401,1451523.69484293
"LARP7",5,399,1451523.98449837
"SLC9A2",5,399,1451526.90585871
"KCNK4",3,401,1451527.45682823
"NACC1",2,402,1451528.6857113
"HMGCS1",3,401,1451531.21715102
"HECA",2,402,1451533.28452416
"SNX5",2,402,1451537.88084947
"SMCR7L",3,401,1451538.73280907
"LPP",4,400,1451539.23391089
"SCN3A",8,396,1451539.91843247
"SLC36A2",4,400,1451542.49009282
"GBP7",6,398,1451545.49697124
"TC2N",3,401,1451546.24181707
"PIK3R5",3,401,1451546.24181707
"FARP1",2,402,1451547.06603739
"KCNJ2",5,399,1451547.32731085
"AGFG2",3,401,1451549.99382731
"ADAMTS14",5,399,1451550.24065113
"UBE2Q1",5,399,1451550.24065113
"ABCB6",2,402,1451551.6549
"LRP5L",2,402,1451551.6549
"WDHD1",3,401,1451553.74417504
"GP6",2,402,1451556.24127506
"NAA25",3,401,1451557.49286026
"GPR133",4,400,1451558.75225248
"VEZT",2,402,1451560.82516255
"ATP9B",2,402,1451560.82516255
"MIR522",2,402,1451560.82516255
"EHD1",5,399,1451561.8839872
"TMEM131",6,398,1451564.12358617
"PCED1A",4,400,1451565.24836634
