"","mutO","mutX","MSE"
"ENDOV",1,145,722821.382144544
"FYB",1,145,722821.382144544
"OR2V1",1,145,722821.382144544
"PDK3",1,145,722821.382144544
"PLA2G2E",1,145,722821.382144544
"PRPF3",1,145,722821.382144544
"RIMKLB",1,145,722821.382144544
"TCTEX1D1",1,145,722821.382144544
"SLC25A25",2,144,722951.412671233
"ITGAV",4,142,723165.920364654
"PPOX",2,144,723422.176750381
"CD248",1,145,723485.534057629
"UBN2",1,145,723485.534057629
"ALPK1",1,145,723485.534057629
"P2RY10",1,145,723485.534057629
"ZNF230",1,145,723485.534057629
"OOEP",1,145,723485.534057629
"GALNT1",1,145,723485.534057629
"FRG1",1,145,723485.534057629
"LRRC32",1,145,723485.534057629
"SLC6A3",1,145,723485.534057629
"AP5Z1",1,145,723485.534057629
"DHDDS",1,145,723485.534057629
"TP53BP1",1,145,723485.534057629
"KIAA0020",1,145,723485.534057629
"C21orf119",1,145,723485.534057629
"AEBP2",1,145,723485.534057629
"PRB2",1,145,723485.534057629
"TGM4",1,145,723485.534057629
"B3GNT9",1,145,723485.534057629
"KRTAP10-7",1,145,723485.534057629
"JHDM1D",1,145,723485.534057629
"LINC00303",1,145,723485.534057629
"SPATA5L1",1,145,723485.534057629
"NBN",1,145,723485.534057629
"ZNRD1-AS1",1,145,723485.534057629
"PAN3",1,145,723485.534057629
"SLC30A1",1,145,723485.534057629
"BYSL",1,145,723485.534057629
"CDCP1",1,145,723485.534057629
"ZNF20",1,145,723485.534057629
"RUFY3",1,145,723485.534057629
"DSCR3",1,145,723485.534057629
"UHRF2",1,145,723485.534057629
"WIPF1",1,145,723485.534057629
"ALDH3A1",1,145,723485.534057629
"ARL9",1,145,723485.534057629
"CDCA5",1,145,723485.534057629
"CLCN1",1,145,723485.534057629
"CXorf61",1,145,723485.534057629
"ETHE1",1,145,723485.534057629
"GPR135",1,145,723485.534057629
"GPR20",1,145,723485.534057629
"KCTD18",1,145,723485.534057629
"MIR1207",1,145,723485.534057629
"MMADHC",1,145,723485.534057629
"TMEM160",1,145,723485.534057629
"WNT1",1,145,723485.534057629
"CDC27",2,144,723538.756659056
"LYST",4,142,723862.893232684
"MYO15A",2,144,723885.829718417
"PTPN14",2,144,724129.252996575
"KIAA2022",2,144,724455.395928463
"KCNK2",1,145,724613.81369863
"TUBA1C",1,145,724613.81369863
"ZNF76",1,145,724613.81369863
"MLC1",1,145,724613.81369863
"ZNF585B",1,145,724613.81369863
"BAI1",1,145,724613.81369863
"MERTK",1,145,724613.81369863
"KRTAP10-9",1,145,724613.81369863
"THNSL2",1,145,724613.81369863
"C11orf24",1,145,724613.81369863
"TACR2",1,145,724613.81369863
"ZNF598",1,145,724613.81369863
"BEST2",1,145,724613.81369863
"CNTN5",1,145,724613.81369863
"REV1",1,145,724613.81369863
"AQP10",1,145,724613.81369863
"PCM1",1,145,724613.81369863
"PNMA5",1,145,724613.81369863
"KIAA0408",1,145,724613.81369863
"NOL11",1,145,724613.81369863
"NDOR1",1,145,724613.81369863
"MPP4",1,145,724613.81369863
"ARHGEF40",1,145,724613.81369863
"BCL3",1,145,724613.81369863
"CYP2A13",1,145,724613.81369863
"MCCC2",1,145,724613.81369863
"MAGEA10",1,145,724613.81369863
"VPS8",1,145,724613.81369863
"PCK1",1,145,724613.81369863
"XKR6",1,145,724613.81369863
"KIAA1614",1,145,724613.81369863
"SNORA67",1,145,724613.81369863
"DCTN4",1,145,724613.81369863
"WFDC8",1,145,724613.81369863
"CHRNA6",1,145,724613.81369863
"FGF6",1,145,724613.81369863
"ATG13",1,145,724613.81369863
"FERMT1",1,145,724613.81369863
"OR14A16",1,145,724613.81369863
"WIPI1",1,145,724613.81369863
"VRK3",1,145,724613.81369863
"GCKR",1,145,724613.81369863
"GRAMD1C",1,145,724613.81369863
"C19orf10",1,145,724613.81369863
"CHST12",1,145,724613.81369863
"FAM92A1",1,145,724613.81369863
"KRTAP1-5",1,145,724613.81369863
"MIR490",1,145,724613.81369863
"MSANTD3-TMEFF1",1,145,724613.81369863
"PROKR2",1,145,724613.81369863
"RCCD1",1,145,724613.81369863
"SSB",1,145,724613.81369863
"ALAS2",3,143,724776.615863589
"ADAMTS6",2,144,724777.865249239
"SPINT3",2,144,725096.660958904
"VRTN",2,144,725110.4383086
"TTN",25,121,725473.984150345
"CACNA1B",4,142,725782.007259309
"TSC22D2",1,145,725812.525271611
"MYLK",1,145,725812.525271611
"GALNTL6",1,145,725812.525271611
"SF3B3",1,145,725812.525271611
"C19orf76",1,145,725812.525271611
"TEAD1",1,145,725812.525271611
"LPPR2",1,145,725812.525271611
"ZNF786",1,145,725812.525271611
"CD55",1,145,725812.525271611
"PCDHGA3",1,145,725812.525271611
"ZNF48",1,145,725812.525271611
"GPATCH4",1,145,725812.525271611
"CCDC154",1,145,725812.525271611
"PTPRU",1,145,725812.525271611
"CDHR4",1,145,725812.525271611
"CDK19",1,145,725812.525271611
"FAM45A",1,145,725812.525271611
"C16orf96",1,145,725812.525271611
"AGBL3",1,145,725812.525271611
"WDR96",1,145,725812.525271611
"SARDH",1,145,725812.525271611
"HIST1H2AD",1,145,725812.525271611
"EIF4G3",1,145,725812.525271611
"PLA2G6",1,145,725812.525271611
"MNDA",1,145,725812.525271611
"PLA1A",1,145,725812.525271611
"SPARCL1",1,145,725812.525271611
"MANBA",1,145,725812.525271611
"IGKV1D-12",1,145,725812.525271611
"CCDC158",1,145,725812.525271611
"AQP5",1,145,725812.525271611
"C2orf83",1,145,725812.525271611
"CA6",1,145,725812.525271611
"CHRNB1",1,145,725812.525271611
"DGKA",1,145,725812.525271611
"EPOR",1,145,725812.525271611
"FAM35B",1,145,725812.525271611
"HIST1H4I",1,145,725812.525271611
"HMGN5",1,145,725812.525271611
"IL37",1,145,725812.525271611
"KRTAP4-8",1,145,725812.525271611
"LRRC43",1,145,725812.525271611
"MAP4",1,145,725812.525271611
"NSUN3",1,145,725812.525271611
"OR2AG1",1,145,725812.525271611
"PIP",1,145,725812.525271611
"PLEKHA8",1,145,725812.525271611
"SNAI3",1,145,725812.525271611
"SPRR2F",1,145,725812.525271611
"TMEM189-UBE2V1",1,145,725812.525271611
"UBTD2",1,145,725812.525271611
"UGT2B10",1,145,725812.525271611
"ZBTB46",1,145,725812.525271611
"ZNF480",1,145,725812.525271611
"FANCI",4,142,726076.79360409
"ATP1A4",4,142,726368.196146054
"TPP1",2,144,726453.103833714
"CUBN",4,142,726519.563886745
"CCDC108",3,143,726831.137816521
"ERBB3",3,143,726845.008876968
"MYO7A",2,144,726855.229452055
"TSC22D1",3,143,726950.222977935
"AP4E1",3,143,726960.718747006
"SYCP2",3,143,726960.718747006
"RASGRF1",3,143,727002.655203244
"ZNF208",2,144,727009.099315068
"FAM47C",4,142,727022.851967972
"LIMA1",2,144,727111.123668189
"NCOA6",3,143,727138.433534502
"ELTD1",3,143,727159.252578472
"MAML2",3,143,727169.65510745
"DMBT1",3,143,727169.65510745
"GON4L",4,142,727222.100955045
"VCX3B",2,144,727313.839041096
"PLCE1",6,140,727364.333692107
"SEPT14",2,144,727539.768835616
"TMEM131",3,143,727592.144809528
"HYDIN",6,140,727744.344129159
"KIAA0226",3,143,727906.385445605
"ALS2CL",2,144,727923.595842846
"COX10",2,144,727972.635797184
"IRF9",2,144,727972.635797184
"ABR",4,142,728028.163346517
"ATP1A3",3,143,728063.673500016
"FBN3",3,143,728083.646996839
"LTBP4",2,144,728094.749571918
"NT5C1B",2,144,728119.088993531
"ZNF717",2,144,728155.546042618
"VLDLR",3,143,728183.234760673
"COL6A3",4,142,728261.715560486
"AKAP4",4,142,728304.68428034
"USP53",2,144,728420.988013699
"LAMA3",3,143,728537.890570617
"ST18",3,143,728570.245330012
"OR2T34",5,141,728593.127756728
"MTHFD1",2,144,728659.382229833
"HMHA1",2,144,728659.382229833
"LRP2",6,140,728666.203555121
"COL27A1",3,143,728761.313056806
"ZNF135",2,144,728871.562024353
"TCF4",4,142,728871.972168628
"MAPRE3",4,142,728880.319433726
"MGAM",4,142,728957.336243488
"ZMYND19",2,144,728976.808171613
"LARP1",4,142,728988.513457457
"MAGEA12",3,143,729010.907909442
"C20orf112",4,142,729046.525299055
"C1orf101",3,143,729260.31832551
"RNF19A",2,144,729312.10825723
"PLXNA4",3,143,729354.250375196
"CKAP5",3,143,729354.250375196
"DNAH17",4,142,729390.973109203
"MEFV",3,143,729457.037168311
"PLA2G15",3,143,729457.037168311
"NOS1AP",2,144,729528.620957002
"RNF123",3,143,729574.868058882
"CENPE",6,140,729604.927625571
"EPB41L3",3,143,729642.477025258
"KCNG4",2,144,729686.552463851
"ZNF862",3,143,729743.674074784
"CNTN1",3,143,729743.674074784
"AHNAK2",3,143,729743.674074784
"DENND5A",3,143,729743.674074784
"CCDC88A",3,143,729826.05208034
"ALG10B",3,143,729889.862790178
"KIAA1109",2,144,730009.366438356
"BOD1L1",2,144,730009.366438356
"FRMPD4",3,143,730041.03838171
"ZSCAN5A",2,144,730086.412052892
"ARHGAP1",2,144,730108.362585616
"TSGA13",2,144,730119.327435312
"ABCC12",3,143,730166.885493502
"SETX",3,143,730294.619950825
"SNX7",2,144,730358.79718417
"EML5",2,144,730358.79718417
"NLRP2",2,144,730358.79718417
"FAM75D5",2,144,730380.400494673
"CEP89",3,143,730383.283935243
"SDCCAG8",3,143,730383.283935243
"ATG2A",3,143,730407.010218092
"SLC17A7",3,143,730415.838458345
"PPARGC1B",2,144,730488.000380517
"FLNC",5,141,730508.527115515
"RIMBP2",4,142,730509.534753039
"ATP2B1",3,143,730559.213302679
"TLN1",5,141,730570.031050228
"ZNF229",2,144,730584.246527778
"ELL",3,143,730655.179582974
"GRM3",3,143,730707.287064534
"ANGPT1",3,143,730741.93214548
"TBP",6,140,730761.68351272
"FRMPD1",2,144,730764.510083714
"AFF2",4,142,730774.329876519
"CNGA1",2,144,730775.051322298
"ASCC2",2,144,730805.336710426
"IGSF3",2,144,730805.336710426
"NXF5",2,144,730805.336710426
"ESRP1",2,144,730805.336710426
"PCDHB4",2,144,730805.336710426
"PPFIA4",2,144,730805.336710426
"SEZ6L2",2,144,730805.336710426
"FOXO4",2,144,730805.336710426
"DISP2",2,144,730805.336710426
"PLK1",2,144,730805.336710426
"POLR1D",2,144,730805.336710426
"PSMB6",2,144,730805.336710426
"ANKRD26",2,144,730857.838850837
"PRDM10",2,144,730857.838850837
"NCR2",2,144,730899.715563166
"GTF2IRD2",2,144,730899.715563166
"TPP2",2,144,730910.167380137
"KCNH6",2,144,730910.167380137
"LGI1",2,144,730910.167380137
"PCDHA9",2,144,730910.167380137
"RREB1",2,144,730910.167380137
"XPO7",2,144,730910.167380137
"BAI3",2,144,730910.167380137
"CYB5R2",2,144,730910.167380137
"HSD3B2",2,144,730910.167380137
"ITIH4",2,144,730910.167380137
"SRCAP",2,144,730910.167380137
"SEC23A",2,144,730910.167380137
"GLYR1",2,144,730910.167380137
"NLRP3",2,144,730910.167380137
"CGN",2,144,730910.167380137
"KL",2,144,730910.167380137
"NOP9",2,144,730910.167380137
"DOCK6",2,144,730910.167380137
"ITIH6",2,144,730920.612252664
"PER3",2,144,730920.612252664
"TTC28",2,144,730920.612252664
"MMP13",3,143,730928.452885015
"VWA3B",5,141,730967.532730982
"ABCA4",4,142,730968.24257187
"SNRNP200",2,144,730972.73244863
"TBK1",2,144,730972.73244863
"PHACTR1",2,144,730972.73244863
"USP5",2,144,730972.73244863
"NTSR2",2,144,730972.73244863
"RARB",2,144,730983.13565449
"PXDNL",6,140,731000.714970646
"FAT1",2,144,731003.921232877
"BRWD1",5,141,731007.403439231
"PRMT7",2,144,731014.303605403
"N4BP2",2,144,731014.303605403
"CYP24A1",2,144,731014.303605403
"RBMX",2,144,731014.303605403
"LHX9",2,144,731014.303605403
"OR1D5",2,144,731014.303605403
"GPC6",2,144,731014.303605403
"SNPH",2,144,731014.303605403
"STRN",2,144,731014.303605403
"DNAJC9",2,144,731014.303605403
"HOXB3",2,144,731024.679033486
"NWD1",2,144,731024.679033486
"PLCL1",2,144,731024.679033486
"PRELID1P1",2,144,731024.679033486
"MUC16",21,125,731039.171298108
"ZNF215",2,144,731067.386558219
"VWA5B2",2,144,731086.785768645
"ITGAX",2,144,731117.745386225
"ADAMTSL1",2,144,731117.745386225
"CDH13",2,144,731117.745386225
"CUX2",2,144,731117.745386225
"DCAF12L2",2,144,731117.745386225
"LRFN1",2,144,731117.745386225
"PRAMEF10",2,144,731117.745386225
"ROPN1",2,144,731117.745386225
"SAP130",2,144,731117.745386225
"TMEM87B",2,144,731117.745386225
"LPA",2,144,731117.745386225
"CBFB",2,144,731117.745386225
"CHL1",2,144,731117.745386225
"SYT2",2,144,731117.745386225
"DCAF12L1",2,144,731117.745386225
"DSTYK",2,144,731117.745386225
"MYBPC1",2,144,731128.051369863
"CLEC18B",2,144,731128.051369863
"FLNB",2,144,731128.051369863
"HDAC5",2,144,731128.051369863
"SLC4A5",2,144,731128.051369863
"DBH",2,144,731128.051369863
"PDE4C",2,144,731128.051369863
"NR2C2",2,144,731179.477121385
"ITPR1",2,144,731220.492722603
"FOXN1",2,144,731220.492722603
"CHD1L",2,144,731220.492722603
"OR4K14",2,144,731220.492722603
"NRP2",2,144,731230.729261796
"MUC7",2,144,731230.729261796
"ADAMTS3",2,144,731230.729261796
"NPC1L1",2,144,731230.729261796
"BAZ1B",2,144,731230.729261796
"PLCZ1",2,144,731230.729261796
"WDR5",2,144,731230.729261796
"RFC1",2,144,731230.729261796
"NEFH",2,144,731230.729261796
"SCRN1",2,144,731230.729261796
"RPL7",2,144,731230.729261796
"FMO4",2,144,731240.958856545
"FAM71E2",2,144,731240.958856545
"NUP188",2,144,731240.958856545
"PHLDA1",2,144,731281.807791096
"MLL3",10,136,731300.998338034
"ZNF841",3,143,731311.148673245
"OTOF",4,142,731319.981719082
"CHKB",2,144,731333.96570586
"SLC26A9",2,144,731342.872859589
"ITGB5",2,144,731342.872859589
"NUSAP1",2,144,731342.872859589
"ZKSCAN1",2,144,731374.561215753
"MFI2",2,144,731393.569444444
"FCHO1",2,144,731423.904062024
"ABCA8",2,144,731434.001712329
"CDH9",3,143,731443.985407287
"CRNKL1",2,144,731444.092418189
"MEI1",2,144,731444.092418189
"DLGAP4",2,144,731444.092418189
"VNN2",2,144,731444.092418189
"KIF7",2,144,731444.092418189
"C1QTNF9B",2,144,731444.092418189
"TM9SF3",2,144,731444.092418189
"MAGI3",4,142,731456.970601003
"GOLGA6L2",3,143,731474.409713574
"CACNA2D2",1,145,731542.663958432
"NTSR1",1,145,731542.663958432
"TLR10",1,145,731542.663958432
"WFIKKN1",1,145,731542.663958432
"KCNQ2",1,145,731542.663958432
"AASDH",1,145,731542.663958432
"MED12",4,142,731557.096396874
"PDE3A",3,143,731616.522431906
"SI",2,144,731644.448202055
"KIAA0430",2,144,731645.674657534
"RORC",2,144,731654.393074581
"DSE",4,142,731707.730127339
"MLL",3,143,731787.003512469
"GABBR2",2,144,731794.105736301
"CSPP1",3,143,731803.132579749
"SQLE",2,144,731813.778491248
"CCAR1",3,143,731819.24299901
"SETDB1",4,142,731853.332939417
"GATA3",17,129,731888.602027622
"CHST11",2,144,731890.986681887
"C9orf43",2,144,731901.962138508
"RBBP6",3,143,731923.506178753
"ATP10B",5,141,731969.788438745
"POP1",2,144,731989.583285769
"UBR4",7,139,731992.817792733
"HTATSF1",3,143,732016.549829166
"OR2T12",3,143,732066.569882173
"DNAH2",3,143,732074.473576652
"FOXA1",3,143,732090.266979596
"RGPD4",2,144,732105.536482116
"C1orf194",2,144,732172.714041096
"RB1",3,143,732208.123096082
"KIFC1",1,145,732217.99829948
"RNF207",1,145,732217.99829948
"ZIC3",1,145,732217.99829948
"MTMR4",1,145,732217.99829948
"SCNN1D",1,145,732217.99829948
"FAM98C",1,145,732217.99829948
"ZNF699",1,145,732217.99829948
"WDR4",1,145,732217.99829948
"ARSF",1,145,732217.99829948
"SLC4A1",1,145,732217.99829948
"ELF3",1,145,732217.99829948
"RGS12",1,145,732217.99829948
"TBC1D3",1,145,732217.99829948
"OR52I2",1,145,732217.99829948
"NOM1",1,145,732217.99829948
"OR13D1",1,145,732217.99829948
"PCGF5",1,145,732217.99829948
"POU5F2",1,145,732217.99829948
"ASAH1",1,145,732217.99829948
"BPIFB6",1,145,732217.99829948
"DEDD2",1,145,732217.99829948
"GCH1",1,145,732217.99829948
"GHRLOS2",1,145,732217.99829948
"KCTD9",1,145,732217.99829948
"LRRC8E",1,145,732217.99829948
"OPRD1",1,145,732217.99829948
"C14orf39",2,144,732249.07172755
"HGD",1,145,732271.665564478
"PAK7",1,145,732271.665564478
"TBKBP1",1,145,732271.665564478
"IREB2",1,145,732271.665564478
"HMBS",1,145,732271.665564478
"PCDHA2",1,145,732271.665564478
"CYB5A",1,145,732271.665564478
"ZNF41",1,145,732271.665564478
"ZNF512B",1,145,732271.665564478
"RFX3",1,145,732271.665564478
"MUC15",1,145,732271.665564478
"MMRN1",1,145,732271.665564478
"GPR12",1,145,732271.665564478
"TRMT11",1,145,732271.665564478
"NOBOX",1,145,732271.665564478
"TBX22",1,145,732271.665564478
"ELL2",1,145,732271.665564478
"SLC12A7",1,145,732271.665564478
"TRIM48",1,145,732271.665564478
"TTK",1,145,732271.665564478
"MON1B",1,145,732271.665564478
"ZNF488",1,145,732271.665564478
"CLK3",1,145,732271.665564478
"SSX2IP",1,145,732271.665564478
"AMBP",1,145,732271.665564478
"OR52H1",1,145,732271.665564478
"MAP3K11",1,145,732271.665564478
"MED8",1,145,732271.665564478
"FAM105B",1,145,732271.665564478
"APOLD1",1,145,732271.665564478
"C17orf107",1,145,732271.665564478
"C1orf43",1,145,732271.665564478
"DLG1",3,143,732301.652744516
"PLEKHH2",3,143,732301.652744516
"SYNE2",6,140,732309.02832681
"FREM1",6,140,732311.079745597
"ZNRF4",3,143,732317.175751189
"CSE1L",2,144,732409.856116819
"NAV3",3,143,732430.581760705
"CPXM1",3,143,732501.997285819
"RNF213",6,140,732512.632713633
"ZFPM2",3,143,732532.539802663
"STXBP5",4,142,732533.65804071
"FAM208B",3,143,732547.783089057
"ESYT3",3,143,732570.613053613
"MYH7",4,142,732579.962135829
"ZNF532",2,144,732587.181316591
"SLITRK5",2,144,732587.181316591
"CTC1",3,143,732623.719800747
"DNHD1",4,142,732698.23755547
"DCHS2",3,143,732751.742280551
"JUP",3,143,732751.742280551
"LIMK1",2,144,732771.13108828
"ENPP3",2,144,732789.373287671
"CIT",4,142,732791.040951186
"MAP3K1",11,135,732821.897652322
"DGKE",2,144,732824.654062024
"SYAP1",2,144,732824.654062024
"CIC",3,143,732841.299901012
"SCN7A",2,144,732888.0945586
"ETFB",2,144,732925.304366438
"TP53",54,92,732935.066314826
"MYT1L",4,142,732958.564875555
"CPSF4",3,143,732964.70616598
"GPR162",2,144,732978.133561644
"GIPC3",2,144,732978.133561644
"PPP1R3A",3,143,732981.72650637
"MACF1",6,140,732989.033806262
"MAP4K1",2,144,733005.00984589
"ZEB1",2,144,733013.954718417
"SMG1",4,142,733014.429601582
"STK4",2,144,733049.664764079
"FAM49A",2,144,733049.664764079
"VPS13A",3,143,733081.827473896
"ZNF469",2,144,733086.359160959
"BRCA1",3,143,733091.400804675
"FBXL18",2,144,733094.146071157
"MAML1",2,144,733095.240677321
"MUSK",2,144,733104.115249239
"HSPG2",3,143,733113.20979021
"COLQ",2,144,733138.453767123
"KIF5C",2,144,733138.453767123
"ZNF167",2,144,733138.453767123
"GPR77",2,144,733147.294472983
"MYOM3",2,144,733147.294472983
"MLL4",3,143,733178.384998563
"LAMB4",2,144,733183.673896499
"TCEANC2",2,144,733192.479023973
"GPSM2",2,144,733218.852739726
"SFXN5",2,144,733218.852739726
"CD2",2,144,733226.548325723
"RFX7",2,144,733235.319587138
"SP1",2,144,733235.319587138
"NHSL2",3,143,733236.001500782
"DCAF8",2,144,733280.148354262
"SPEF2",3,143,733300.463422422
"MICAL2",3,143,733300.463422422
"TNFRSF21",3,143,733300.463422422
"KIF21B",4,142,733305.099098013
"XPO5",2,144,733313.948439878
"ARMCX5",3,143,733314.737011847
"TTC21A",2,144,733322.650256849
"LGSN",2,144,733322.650256849
"RBM26",2,144,733322.650256849
"NCKAP1L",3,143,733364.547721685
"ZNF711",3,143,733371.644889357
"IL1RL2",1,145,733372.132451582
"PCF11",1,145,733372.132451582
"BAZ1A",1,145,733372.132451582
"BBS7",1,145,733372.132451582
"TNFRSF10A",1,145,733372.132451582
"ADAMDEC1",1,145,733372.132451582
"GABRA3",1,145,733372.132451582
"NSMAF",1,145,733372.132451582
"FAM86HP",1,145,733372.132451582
"MTO1",1,145,733372.132451582
"SLCO1B7",1,145,733372.132451582
"PIK3CG",1,145,733372.132451582
"SAMD15",1,145,733372.132451582
"F13A1",1,145,733372.132451582
"TMPRSS13",1,145,733372.132451582
"ZNF266",1,145,733372.132451582
"LAIR1",1,145,733372.132451582
"XAGE-4",1,145,733372.132451582
"USPL1",6,140,733385.984377038
"APOB",5,141,733396.5135529
"RFX4",4,142,733397.759839861
"GLI3",1,145,733408.679452055
"DOCK10",1,145,733408.679452055
"OR1L4",1,145,733408.679452055
"ACOT11",1,145,733408.679452055
"KIAA1045",1,145,733408.679452055
"ZNF329",1,145,733408.679452055
"CASP8AP2",1,145,733408.679452055
"FAM73A",1,145,733408.679452055
"COL24A1",1,145,733408.679452055
"BMP15",1,145,733408.679452055
"CENPF",1,145,733408.679452055
"DSG1",1,145,733408.679452055
"MTAP",1,145,733408.679452055
