"","mutO","mutX","MSE"
"OR5W2",1,145,567614.905243269
"GOLGA6L5",1,145,567614.905243269
"ALG10",1,145,567614.905243269
"NSUN5",1,145,567614.905243269
"ENTPD5",1,145,567614.905243269
"ITGB3BP",1,145,567614.905243269
"PLCD1",1,145,567614.905243269
"RHEBL1",1,145,567614.905243269
"IFRD1",1,145,567614.905243269
"N4BP3",1,145,567614.905243269
"GCC2",2,144,654534.343559741
"NPAP1",1,145,662629.134435522
"UNC45A",1,145,662629.134435522
"RFXANK",1,145,662629.134435522
"DPY19L2P1",1,145,662629.134435522
"VPS53",1,145,662629.134435522
"DAO",1,145,662629.134435522
"KLF17",1,145,662629.134435522
"PABPC4L",1,145,662629.134435522
"IQUB",1,145,662629.134435522
"CALML6",1,145,662629.134435522
"FEZF2",1,145,662629.134435522
"RGS5",1,145,662629.134435522
"TMEM9B",1,145,662629.134435522
"WSB2",1,145,662629.134435522
"ESR2",2,144,664643.692161339
"EXOC7",2,144,665857.960616438
"MYPN",1,145,668690.577042985
"ASMTL",1,145,668690.577042985
"SH3D19",1,145,668690.577042985
"SEH1L",1,145,668690.577042985
"PHF20",1,145,668690.577042985
"CALM2",1,145,668690.577042985
"ZNF804B",4,142,678912.645427359
"SF3B1",4,142,680746.197906618
"C17orf104",2,144,684966.27435312
"DNAH5",3,143,687799.512501197
"ARID1B",3,143,692565.81221062
"GOLGA8J",2,144,694506.263508371
"PLD5",3,143,698563.456046237
"CPN1",1,145,701113.31525744
"SGCZ",1,145,701113.31525744
"GPR143",1,145,701113.31525744
"PLCB4",1,145,701113.31525744
"NYAP1",1,145,701113.31525744
"UBAP1L",1,145,701113.31525744
"PPP1R13B",1,145,701113.31525744
"PRKAG2",1,145,701113.31525744
"MYEF2",1,145,701113.31525744
"GALNT10",1,145,701113.31525744
"ZNF70",1,145,701113.31525744
"HRH2",1,145,701113.31525744
"CCDC105",1,145,701113.31525744
"RCOR1",1,145,701113.31525744
"ZMAT5",1,145,701113.31525744
"MAPKBP1",2,144,701541.275684932
"PVRL3",2,144,701541.275684932
"RGPD3",3,143,701861.877542549
"SLFN14",3,143,702673.602164958
"UHRF1BP1L",2,144,703493.300941781
"SUPT5H",4,142,703500.058966815
"AMY2A",1,145,704421.494756731
"DNM3",1,145,704421.494756731
"ANGPT2",1,145,704421.494756731
"PRKCQ",1,145,704421.494756731
"NNT",1,145,704421.494756731
"USP32",1,145,704421.494756731
"RFPL4A",1,145,704421.494756731
"ZNF729",2,144,704438.685312024
"LRP4",3,143,704663.426541495
"SLX4",3,143,704681.25711275
"TRPC4",3,143,704965.9122202
"ITGB3",2,144,708009.196727549
"TEK",3,143,708086.04441677
"SMYD3",2,144,708544.261986301
"LCP1",2,144,708585.226407915
"FRG1B",5,141,709216.305489167
"OSBPL8",2,144,709741.035340563
"FBL",2,144,709741.035340563
"FNBP4",2,144,710220.941733257
"TACR1",2,144,710380.021641933
"APC",3,143,710586.982820832
"ATP7A",2,144,711481.136558219
"THBS3",3,143,711662.624101926
"MYO18A",3,143,713151.912986557
"CROCCP2",5,141,713262.946818226
"HNRNPU",1,145,713959.610958904
"SHISA6",1,145,713959.610958904
"SYT16",1,145,713959.610958904
"TCEB3B",1,145,713959.610958904
"ATP2B2",1,145,713959.610958904
"USP1",1,145,713959.610958904
"SLC2A13",1,145,713959.610958904
"CASP1",1,145,713959.610958904
"FAN1",1,145,713959.610958904
"ADAMTS5",1,145,713959.610958904
"FZD1",1,145,713959.610958904
"GPR174",1,145,713959.610958904
"CILP",1,145,713959.610958904
"ENSA",1,145,713959.610958904
"LMX1B",1,145,713959.610958904
"STRBP",1,145,713959.610958904
"NUP35",1,145,713959.610958904
"BDKRB1",1,145,713959.610958904
"CREB3",1,145,713959.610958904
"GAR1",1,145,713959.610958904
"MOGAT3",1,145,713959.610958904
"TCF7L1",1,145,713959.610958904
"GNPAT",2,144,714175.624381659
"SMCHD1",2,144,714543.879708904
"BCL9",3,143,714584.112558674
"KIF2C",2,144,715362.297945205
"PCDHA11",2,144,715596.111824582
"ALKBH7",2,144,715739.413955479
"OR6C76",3,143,715770.558259093
"NMT1",2,144,715917.916619102
"PCDHGB6",2,144,715917.916619102
"CDH6",2,144,717733.17765411
"DCC",2,144,717767.350409056
"MAGEB6",2,144,717971.803605403
"GPRIN2",2,144,718259.733828006
"PAN2",2,144,718712.909769787
"NOTCH2",3,143,718743.020180733
"BACH2",3,143,719150.874381327
"EGFR",2,144,719259.916476408
"STAT4",4,142,719830.835544086
"HS6ST1",2,144,720981.530393836
"MAGEL2",2,144,721496.453767123
"ZNF587",1,145,721603.375342466
"SNAP25",1,145,721603.375342466
"WFDC5",1,145,721603.375342466
"VWCE",1,145,721603.375342466
"BLM",1,145,721603.375342466
"PPP2R1A",1,145,721603.375342466
"OR4D10",1,145,721603.375342466
"PGLYRP3",1,145,721603.375342466
"C6orf165",1,145,721603.375342466
"OR2G6",1,145,721603.375342466
"MIB1",1,145,721603.375342466
"FCER1A",1,145,721603.375342466
"TREML1",1,145,721603.375342466
"MORC4",1,145,721603.375342466
"ATP6V0E1",1,145,721603.375342466
"TRIM5",1,145,721603.375342466
"ZNF620",1,145,721603.375342466
"GOLGB1",2,144,721958.003424658
"SLC6A4",2,144,722095.249571918
"OR8D1",2,144,722216.773925038
"COL14A1",5,141,722222.320178762
"CHD2",3,143,722287.462368682
"RICTOR",2,144,722593.672945205
"RBM8A",2,144,722593.672945205
"TPPP",2,144,722593.672945205
"CNN2",1,145,722821.382144544
"SSTR5",1,145,722821.382144544
"HLF",1,145,722821.382144544
"LZTR1",1,145,722821.382144544
"KRTAP4-7",1,145,722821.382144544
"MMAA",1,145,722821.382144544
"FBXO44",1,145,722821.382144544
"NAMPT",1,145,722821.382144544
"CNOT3",1,145,722821.382144544
"VAC14",1,145,722821.382144544
"GOLGA6L6",1,145,722821.382144544
"SLC39A14",1,145,722821.382144544
"WDR81",1,145,722821.382144544
"ZNF251",1,145,722821.382144544
"DLX5",1,145,722821.382144544
"PDILT",1,145,722821.382144544
"ACSL3",1,145,722821.382144544
"RPS6KA3",1,145,722821.382144544
"FCAR",1,145,722821.382144544
"C16orf80",1,145,722821.382144544
