"","cor","number"
"GSPT2",0.586363257052866,16856
"RUNDC3B",0.570608683825227,1464
"PRB3",-0.559818082747711,3765
"RASSF3",-0.545409402507209,16250
"GJC1",-0.545350284463401,9636
"GABRD",-0.545273275668293,7273
"CHRNE",-0.545263043376037,14108
"SPRR1A",-0.540195786061402,16676
"OR51L1",-0.538698198597441,1611
"KIAA1345",0.533132998971117,10258
"AVPR2",0.527104346181298,12374
"ITM2A",0.526814486362248,17009
"FOXD2",-0.526385143608303,2779
"USP25",0.525765876945019,12279
"CFI",0.525668539143245,12572
"DARC",0.525576987540534,14565
"LCE3E",-0.521916772016323,6583
"TMEM151",-0.518781581577079,4110
"TPO",0.518755479113955,8422
"ITPKA",-0.515374212247702,12248
"DNASE1L3",0.513942043556935,1235
"C10orf78",0.513010800694517,16960
"C9orf89",-0.512918170780134,14936
"HIST2H2AC",-0.512507304210323,15668
"PTGER4",0.510699080006096,15683
"NXPH4",-0.510270589667432,12461
"UBLCP1",0.50694714128318,9998
"C1RL",0.504897041502797,6571
"THSD7A",0.504462767184523,13677
"SCO2",-0.504285832870427,7417
"FOXD4L1",-0.504055363588892,13179
"GPR12",-0.501950757196715,10085
"GAST",-0.497368516946825,7019
"CHST1",-0.496305611637187,7792
"ABCB1",0.495786796294693,1321
"COL20A1",-0.492724029585278,9896
"IER5L",-0.491978664726657,10207
"KRT85",-0.491697315731523,12916
"MGC11102",-0.491246334609362,233
"GPR87",0.489987613993487,4233
"HNRNPU",-0.48943900599352,14016
"VEGFA",-0.488743643824517,13487
"HIST1H2AI",-0.488421210624473,5955
"DOCK11",0.487593264189652,8962
"C14orf162",-0.48722540460706,16629
"CREBL2",0.4864927370818,10339
"ARID3A",-0.485817705825224,3453
"FLJ32214",-0.485072393503025,10220
"MPG",-0.482397987187547,2109
"FOXE3",-0.482010866439142,2680
"ADRB3",-0.48125530808899,883
"FLRT1",-0.480214051171302,4353
"MNDA",0.479045571654982,12167
"CUTC",0.478769655016879,7474
"C19orf19",-0.478695584398255,1906
"PIK3R1",0.476910923109724,9643
"STX11",0.476735906170746,12274
"RNF180",0.476213406454373,7840
"RSPO3",0.476158869537512,11785
"LOC51057",0.475589822339181,11948
"SPAG7",0.475151161481221,8630
"OXSR1",-0.474006159276013,12786
"MIF",-0.472466584047672,12854
"ZRANB3",0.470804579105617,9961
"RHCG",0.469637746110812,3732
"ZNF781",0.469314435855564,11236
"C16orf14",-0.469186455261495,5483
"OR5J2",-0.468715992375456,16940
"HDC",0.468403828917891,15122
"ARMCX1",0.468081501324187,5098
"BANK1",0.467937453912558,48
"C1orf71",-0.467369789024611,186
"ADAMTSL2",-0.466574972510866,1475
"P2RY12",0.46561370522737,16610
"STX5",-0.465339153704639,13485
"TCTEX1D1",0.465219463538122,7476
"C21orf63",0.464428814472671,14390
"PSPN",-0.463641829468048,7877
"GPR78",-0.463618534422973,13134
"ACOT2",0.46290378965376,278
"ZNF595",0.462731960733802,14341
"MMP11",-0.462441254553244,11381
"PCDHGA7",-0.462224620238588,5612
"STIM2",0.46161952196386,11484
"APOBEC3C",0.461456958471436,12733
"POLM",-0.461248986677438,12079
"MXD3",-0.461042353179664,6211
"SEMA7A",-0.460644767888643,14466
"OTOF",-0.460619188863001,2647
"FAM131C",-0.460405511754376,13398
"MGC20983",-0.460131871172645,17141
"TNN",0.460131403461754,16954
"D15Wsu75e",-0.459589456749695,8344
"OR10C1",-0.459458093850325,15657
"C20orf195",-0.459142500200644,7693
"P2RY5",0.45859193971174,10435
"APC2",-0.458544642316896,16208
"ABCA9",0.458443550401542,11646
"RPN2",-0.458429230888692,930
"C16orf13",-0.457791044150317,10466
"SLC22A12",-0.457703798766345,5267
"MGC21881",0.457195121708744,6815
"LHX4",-0.45705838657538,5018
"SIRT6",-0.457006311441331,108
"TBC1D12",0.456709550159969,1178
"GGTA1",0.456552620274681,11591
"DPYD",0.455726857433135,13232
"MDN1",0.455391848638681,10656
"USP31",0.454979873830442,1693
"CCDC69",0.454842408245448,7418
"AFF2",0.454549540987904,12519
"ZNF574",-0.454199830730421,5603
"C19orf52",-0.454088660780015,2888
"HIST2H2AB",-0.453614802131459,11800
"PIK3C2G",0.453401651295244,6943
"HIST2H2AA3",-0.453213255617853,7332
"CCNG1",0.45310803914028,12634
"KLK14",-0.452696490792098,3320
"APBA2BP",-0.452603206410041,10064
"CAPN11",0.45247511530492,698
"BSG",-0.452074014813581,11367
"TSGA10",0.451887243867447,14276
"FZR1",-0.451447800881714,1085
"HIST1H2AM",-0.451247566847285,11472
"POFUT1",-0.451093254104927,8568
"FKBP5",0.450656081278007,13452
"PNRC1",0.449704766400223,16651
"IGF1",0.449577590460915,2208
"SYNGAP1",-0.449566258827994,15239
"MAP2K6",0.449407082926817,3553
"SNCB",-0.4492807504586,15165
"ONECUT1",-0.449152865422762,14676
"CD1C",0.448759339980143,3279
"LHX6",0.448718535791407,16936
"MRGPRE",-0.448487869819366,3019
"RAPSN",-0.448440473304894,2637
"ARL4A",0.448080036289455,2262
"MID1",0.447896177068928,5705
"ABCD4",0.447770832878938,83
"KLRG1",0.447640362506462,385
"ARMETL1",0.447482644022361,6161
"SCAND1",-0.447291820304796,16482
"CLEC1A",0.447023302939272,1812
"CYFIP1",0.446950548659962,12044
"FCER1A",0.446630888417108,16548
"MRP63",-0.445962143251379,12722
"DNM2",-0.445741141853293,7324
"C1orf123",0.445305320089551,10014
"ZNF714",0.445260175227728,10723
"GPR177",0.445125213935319,9461
"DEFB4",-0.444228183097325,9264
"DNASE2",-0.444029668457431,1690
"APPL2",0.443926400380088,5027
"THRAP3",-0.443739780704805,13056
"IQSEC2",-0.443057733894241,15433
"RCC1",-0.442853787030483,2704
"IL33",0.442711011838876,1940
"YWHAE",0.442602262374907,12052
"XCR1",-0.442456110167039,254
"KLHDC1",0.441944882708235,9257
"SFRP1",0.441603061771212,10814
"MFAP4",0.44131273793703,8223
