"","number","idx","exp","MSE"
"FCGR1A",7481,31,3.09775,589887.673561043
"MBIP",6304,20,-1.22208333333333,620944.629990215
"CELSR2",13885,124,0.462000000000003,623378.716879321
"C19orf30",7438,124,0.421750000000001,625175.067334638
"C14orf148",8368,120,0.18275,625706.697119366
"TTC8",15859,122,0.475583333333333,637022.78929467
"C1QA",9723,29,3.12225,642345.104788666
"COL4A5",13041,120,0.52845,642637.585204731
"PDE7A",7305,20,-1.25315,645605.400402261
"CCL8",10487,32,3.17075,646436.618646359
"TNC",16799,123,0.184749999999999,647513.3190149
"CPNE6",7298,35,-0.0132500000000001,648478.916969024
"LRG1",9641,123,2.80725000000001,649461.121248945
"UBE2G1",15195,122,0.4204375,649650.192824527
"OR2B11",10516,20,0.24625,649765.46922157
"C1QC",1116,36,3.76725,651080.955487094
"TRIM40",5746,38,-0.0561249999999998,651377.396986568
"CHRM2",4064,20,-2.13725,653633.016595999
"CHCHD7",7929,32,-0.611357142857143,654156.703481735
"OR6K2",14729,41,0.151875,656583.450233053
"LRRN1",4429,120,1.811,657315.848033017
"C2orf51",10142,120,0.0452499999999999,657917.454426791
"COL4A6",807,111,-2.10291666666667,659761.667736273
"TCEB1",2913,24,-0.398125,660099.071842952
"LCN12",12093,124,1.84308333333333,661433.711352903
"CCDC71",12940,121,-0.127125,661597.624326956
"ABHD12",13241,25,-0.1646,661648.125085475
"ASTN1",5281,112,-0.06925,661897.003180039
"DDX55",3814,24,-1.394,663056.434519799
"SMAD2",7150,77,0.445166666666667,663734.298631684
"TGM4",863,24,-0.133416666666666,665277.361610151
"CDH22",1703,118,0.656875,665348.679230654
"OR2L13",9169,20,-0.0499999999999999,665358.496917808
"JMJD6",8302,57,-0.20975,665422.67167055
"P53AIP1",4756,124,0.402250000000001,665662.273701239
"SFRS5",4563,123,-0.378666666666667,665680.400930674
"RGR",16658,40,0.0649999999999999,666096.96896808
"DNAJB1",3352,79,0.863750000000001,666342.431060606
"TDRD5",2354,108,1.61125,666442.462148886
"FLJ43826",647,125,0.731375,666986.123564253
"FSTL3",8551,124,-0.00550000000000069,667109.206850319
"PSMD12",9133,26,-0.629041666666668,667118.560625219
"CD86",2705,26,0.868333333333333,667195.215489989
"DISP2",1910,88,0.221125000000001,668013.775118628
"PKHD1",15390,125,0.9673125,668204.581865623
"OR5F1",12411,91,0.421,668222.350983279
"GADD45A",11469,74,-1.46541666666667,668397.571195575
"CD163",6032,22,6.05775,668668.968033182
"B3GNTL1",9632,60,-0.269,668758.328111914
"MIA3",13928,106,1.50866666666667,669107.152290163
"KCNJ2",15177,20,2.834625,669403.199896717
"PDZK1",4162,122,1.410375,669867.948599873
"EPN1",467,41,0.13825,669988.202682021
"ESRRG",10074,105,2.41615,670022.302999061
"FOXD2",2779,20,-0.500000000000001,670031.3610187
"TTC28",16867,116,-0.208875,670060.021596902
"KIAA1833",8045,20,0.0873750000000002,670094.019988041
"DDX20",9796,108,0.00975000000000006,670681.648702235
"MAP3K7IP2",4986,25,-0.0537500000000004,670782.259517718
"LITAF",7912,20,0.1876875,670822.93018591
"LRGUK",8810,105,0.0054166666666662,671030.361905794
"TNFRSF11B",9996,95,-3.22625,671097.955159817
"SERPIND1",1547,24,-3.76508333333333,671137.569180889
"SSH1",3961,25,-1.0099,671924.697873882
"KPNA5",1544,106,0.121,672137.8043292
"PNMT",3436,37,-1.16558333333334,672231.711802289
"SERPINF2",12380,20,-2.9705,672299.902685366
"GNLY",526,42,1.90475,672955.469015003
"WSB1",429,34,-1.86258333333333,673076.938582796
"SFTPB",14843,38,0.105625,673407.280828594
"TRIM56",376,95,-0.137,673659.162552367
"FBXO34",9304,119,0.343666666666667,673661.468857569
"FAM49B",17266,36,-0.177,673768.635664868
"VSTM1",12988,52,0.207,674122.07763211
"CMAH",14645,120,1.62804166666666,675015.668598525
"CREB3L1",2,108,1.337,675042.881100782
"SLC11A1",13522,20,0.815450000000001,675044.342020004
"XPR1",14605,121,0.647875000000002,675431.11300902
"MIP",15532,50,0.0619999999999999,675490.829192643
"PRICKLE2",1573,93,0.807,675517.312767323
"MPPE1",7744,107,0.787875,675598.181210493
"NR1D2",13477,77,0.523,675733.777794967
"CECR2",10961,42,-0.53,675925.606387049
"GRM6",2510,27,-0.0287500000000002,675938.281463575
"GLT8D3",1608,29,-0.4491875,676008.26116622
"CARD10",5028,118,0.167583333333333,676139.455873329
"DYNC1LI2",1265,24,-0.400062500000001,676210.078762445
"C19orf60",1969,34,-0.328083333333334,676244.298085501
"CYP4F12",13451,103,-0.876125,676349.714219855
"EGR3",1546,119,0.873000000000001,676482.013098195
"CACNA1D",14624,105,1.6728125,676609.96080378
"C1orf100",6884,125,-0.59975,676665.705299413
"GABRA1",11356,106,0.375416666666667,676754.174418719
"RCBTB1",7675,120,0.772125000000002,676819.926883562
"P15RS",440,112,0.4784,676987.6644663
"MLH3",6299,125,1.2268,677015.422403131
"LRRC4C",2340,106,2.643875,677333.444775782
"MGC11102",233,53,0.0107499999999999,677352.27078765
"PLEKHH1",9460,117,-0.101,677555.521092984
