"","cor","number"
"FBL",0.325381529073804,6236
"DGKQ",-0.325336599203405,13461
"ZNF287",0.325126781680717,9258
"GPR34",0.325039129731204,10508
"DNASE2",-0.324934469510192,1690
"SGOL1",-0.324559712689935,3582
"ZDHHC8",-0.324542210650322,12521
"RGS18",0.324342113578552,11332
"C9orf89",-0.324084108215899,14936
"OR10C1",-0.324017123205642,15657
"USP25",0.323934011355087,12279
"RGNEF",0.323833275463044,11631
"VEGFA",-0.323405476731571,13487
"SAMD5",0.323387326299668,15666
"SLC2A1",-0.322913363648624,7073
"HPGD",0.322814427688024,3720
"LCE3E",-0.322729660185947,6583
"SELP",0.322619824904873,2536
"CASQ2",0.322451589117045,10756
"SCNM1",-0.322059688963306,12952
"HERC1",0.321707250196259,7114
"CD69",0.321399105761839,12902
"CH25H",0.321098371992163,5416
"CNR1",0.320873037695236,5725
"C21orf58",-0.320862139764778,12949
"HIST2H2AA3",-0.320494678937661,7332
"TSGA10",0.320355790473726,14276
"XCR1",-0.320102382274059,254
"MRPL55",-0.319854749324628,15837
"TCL6",-0.319796084307993,2241
"SLC5A6",0.31956127101074,6085
"AGBL3",-0.319378966299887,3868
"CAPN11",0.319162535589487,698
"C9orf79",-0.318801119778467,12741
"APPL2",0.31851622381725,5027
"CLEC1A",0.318434516363651,1812
"DNM2",-0.317862900180151,7324
"DOCK8",0.317765602767596,1206
"GAST",-0.317512295469829,7019
"PACSIN1",-0.317362851594177,12583
"LOC90826",0.317284326574541,134
"MOBP",-0.316992744482029,747
"RPL11",0.316982956783839,16054
"FCRL5",0.316561655574012,9541
"APOBEC3F",0.316531388065821,4839
"CLDN19",0.316431050826884,1583
"MAGEC2",-0.316248120777805,12457
"CNKSR3",0.315682988084465,5595
"PROP1",-0.315666111073456,2232
"ZNF574",-0.315612520193157,5603
"CBWD1",0.315567340260632,9321
"DKFZp762E1312",-0.315542365184314,3715
"OSR1",0.315351945986967,16886
"OPRK1",0.315228708332305,11070
"OTOF",-0.314939032588326,2647
"NHLH1",-0.314901686528258,11762
"RCC1",-0.314696071931609,2704
"PLAC8",0.314578895881343,17165
"ESD",0.314124781078244,16649
"CHCHD8",-0.314111470942472,12692
"D15Wsu75e",-0.314103080553703,8344
"FLJ22655",0.313810380235475,6618
"KLHL13",0.313806093600756,13
"SLC45A2",-0.313697882202138,14440
"UBIAD1",-0.313545606879532,12820
"CALR",-0.313535974598425,16551
"PLD2",0.31342341232644,11440
"CLIP4",0.313372903598165,3038
"COX6B1",-0.313325526213021,1689
"HRH3",-0.312952742500612,10402
"MEP1B",-0.312909095483665,11869
"DRD1IP",-0.312907287645852,15056
"SNF1LK2",0.312840090610894,6702
"C1orf100",-0.312779958531644,6884
"SAMD3",0.312778862099047,7726
"ALDOA",-0.312367308037456,12388
"RND3",0.312287390968242,12334
"RPS27A",0.312219960808746,3478
"AKAP3",0.312060270000509,9439
"TJP3",-0.311911105405122,13313
"YWHAE",0.311741381640016,12052
"NDEL1",0.311620263716584,14036
"GPR177",0.311513169477258,9461
"HIST1H2AL",-0.311416309468325,16439
"GABRP",0.311274607739251,703
"RPS8",0.311134942529366,3533
"MET",0.31103417378163,13057
"CDC14B",0.31093252378337,11443
"PIK3R1",0.31089805291765,9643
"NLF1",-0.310629188663273,14544
"C3",0.310578971836658,2315
"TBC1D12",0.310529994018144,1178
"ZNF496",-0.310507841471725,13871
"CUL2",0.310491856950284,17091
"TOX",0.31048742375263,15578
"LHX6",0.310479715313567,16936
"KLRC4",0.310275726051406,419
"FAM50A",-0.310178044226069,3288
"ZNF628",-0.310064160059356,3076
"ARL4A",0.310005417302905,2262
"CARM1",-0.309904988405006,3854
"MAP2K7",-0.309873817461722,7295
"HIST1H4H",-0.309872357176248,5253
"GAS1",0.309841539001194,5182
"KRI1",-0.309699662180981,14547
"SMPDL3B",0.309491541307757,4147
"ERMAP",0.30938841011974,4680
"PLB1",0.309210427395198,6389
"SAMD14",-0.309107048501481,6123
"HIST1H4K",-0.308885715747197,10317
"GPR142",-0.30882984788957,14918
"SPAG7",0.308768573115462,8630
"TMEM8",-0.308755524062278,13281
"PPP1R2P9",0.308484007128726,4971
"FEZF2",-0.3084653249013,1861
"HNMT",0.308427901579712,2266
"ABCD4",0.308394773628522,83
"SLC22A12",-0.30828548277612,5267
"HLA-DOB",0.308211658088361,5300
"FAM47C",-0.308131821939577,16836
"HIST1H2AM",-0.307913732092929,11472
"C8orf79",0.307782153589263,14318
"HIST1H2AK",-0.307732347911265,3959
"AFF2",0.307726371779575,12519
"SNTG2",0.30755431338518,11168
"ZRANB3",0.307538002714968,9961
"BDH2",0.307531214117374,11048
"ALDOAP2",-0.30749302465094,4397
"GUCY1A3",0.30742820625302,16246
"C3orf23",0.307217983890051,3461
"SFT2D3",0.307156112810501,10445
"STX5",-0.306946180599854,13485
"CD79B",0.306831038096958,6971
"HADHB",0.306279741543917,9518
"UTF1",-0.306277038176596,6603
"ATP13A3",-0.306237157724781,16378
"HIST1H4I",-0.306148368566512,279
"DNAJC4",-0.306000618338517,13478
"RFWD3",-0.305848093539941,10380
"ORMDL2",-0.305659097102615,10477
"HIST1H2AB",-0.305415739128166,5175
"SHMT1",0.305243338640208,14567
"C4orf39",0.305191096676391,3129
"CEL",-0.305135890612073,15397
"LRRC59",-0.304914386024713,10564
"ANKS1A",0.304808089588889,11922
"KLK10",0.30477952158047,6329
"ST8SIA3",-0.304733862395897,16911
"GIMAP1",0.30460309035627,10992
"NEUROG1",-0.30400755798671,14912
"ATG4C",0.303991330924407,14787
"TCERG1",0.303809872205992,5079
"PLXNA4B",0.303600805170649,7176
"GALNTL1",0.303512875563549,10536
"ZFP37",0.303485376289689,1211
"DECR1",0.303427097090979,16
"RNASE4",0.303368170980103,1040
"ALKBH6",-0.303359782436028,16112
"KCNK3",0.303328466679739,4415
"COX7B",-0.303313463988776,2582
"PGM5",0.303287468623682,5274
"NFIB",0.303273954883954,16851
"CAPZA2",0.303256959839021,12042
"UNQ1945",-0.30310575492559,682
"RPL10A",0.303035599833508,14102
"SKIP",0.302958571323889,10871
"ANKRD54",-0.302902922901516,5873
"GPR114",0.302797760384109,15332
"ADH5",0.302740032001675,13162
"MDN1",0.302641518866961,10656
"MEF2D",-0.302538703923988,7666
"CGB2",0.302499490386215,14472
"TFPI2",0.302308675329169,10779
"DERA",0.302289762192089,14144
"PLIN",0.302287997593377,133
"TLX2",-0.30222309747463,12078
"RHBDD3",-0.302102695572002,17142
"ZNF408",-0.302066898010085,7264
"KRT3",-0.302021085157848,16425
"ALS2CR8",0.301996733555084,15919
"C9orf31",-0.301948179573916,13752
"EIF3B",-0.301916187185754,16278
"CLEC9A",0.301877938934197,994
"KIAA0495",0.301829281267916,1714
"ZSWIM7",0.301330980281111,12757
"P2RY12",0.301240054262811,16610
"OR10H4",-0.301170067239054,3512
"HIST1H3D",-0.301071196844907,9621
"CRYBB3",-0.301017801508416,2515
"MNDA",0.300980611051617,12167
"KIAA1881",0.300821840600975,7684
"OLFM4",0.300674574876357,9368
"PPP1CC",0.300445676428921,16499
"TAF3",-0.300396113503744,3051
"PRM3",-0.300198611661033,3705
"BTBD14B",-0.300175052862927,368
"C11orf72",-0.299727150422233,177
"MEOX1",0.299632215355824,3399
"VWC2",0.299609377518925,7349
"ATG4D",-0.299433945126216,1442
"RAPSN",-0.299398015874388,2637
"NRSN2",-0.299294861135541,10859
"C13orf3",-0.29921143260761,10630
"CLSTN1",-0.299143169359148,14638
"ATPBD3",-0.29911058019274,5742
"RBM10",-0.298930881978236,4481
"RAB3C",0.29889796357616,7715
"APBA2BP",-0.298822235025847,10064
"ITK",0.298719802743923,4783
"ANXA8L2",0.298667487351589,11067
"AGTPBP1",0.298521463294188,4602
"BCDIN3D",-0.298334284720872,1900
"ALS2CR4",0.298308989416151,480
"POMP",-0.298280575602995,6079
"BIK",-0.298156511475733,7718
"KIT",0.297998813915255,6889
"CCDC69",0.297846808970945,7418
"NTRK3",0.297843214429019,16681
"ZNF205",-0.297818246679735,8466
"FOXH1",-0.297818085446099,13907
"RPUSD1",-0.297794371607254,3572
"NBLA00301",0.297718543527002,6037
"C10orf4",0.297714116929354,6307
"ATM",0.297225167189238,5877
"RBM39",-0.297201233430386,7495
"TMEM63B",-0.297066685568947,10296
"RBPJ",0.296798541697039,10991
"IPO11",0.296618746520054,8495
"COL4A6",0.296565979295117,807
"LENG1",-0.296541623642745,11677
"NCK1",0.296120631289409,5229
"CLRN1",-0.295946153378806,14137
"ACTR10",0.295763821533034,10943
"ZNF248",0.295577969559983,9897
"SNCAIP",0.295496761374583,328
"WNT3A",-0.295463339657123,6813
"POP1",-0.295273460772533,11619
"NOTCH3",-0.295262178885826,2084
"LOC790955",-0.295141709470777,15771
"CCL23",0.29506928594678,9294
"DCTD",0.294983520908798,10746
"NUP50",-0.294949224897169,1521
"COL17A1",0.294946496883832,10604
"MOBKL2B",0.294935281915597,6728
"IRF8",0.294890711547623,12856
"NCALD",0.294821845316585,8520
"LRRC8E",-0.294796842899546,15629
"C8orf4",0.294619480659086,5618
"HNRPDL",0.294587834122822,12543
"EBI2",0.294435073401356,5496
"KRT5",0.294381416295633,2015
"ZNF526",-0.294253804509238,3969
"CDK5R2",-0.294065709272304,10227
"RPS25",0.294025207100837,16095
"BANK1",0.2940206760176,48
"NPPA",0.29392968355566,2480
"TTC19",0.293820824929736,15737
"LOC144097",-0.293591283594042,2256
"E4F1",-0.293582595729709,8984
"ZNF714",0.293568390402311,10723
"ACADM",0.293525368045303,13617
"KLHDC1",0.293466409669881,9257
"UBE2E3",0.29332619773657,11988
"ADCK5",-0.293104988061079,1018
"IL16",0.29298892213301,12755
"C19orf28",-0.292895773272768,4264
"CCDC82",0.292892193088988,10491
"NIPSNAP3B",0.292843878673745,8895
"VSTM1",-0.292775354611758,12988
"WRN",0.292718216177044,1873
"C4orf20",0.292672067503398,13443
"LEP",0.292578831998244,4435
"EIF6",-0.29252775515086,9864
"TLR10",0.29248344807381,4995
"C18orf18",0.292452461995176,324
"PAK3",0.292424409986785,14444
"ZSCAN12",0.292380998758278,9132
"CXorf39",-0.292327806512711,9558
"APOOL",-0.292223605448268,13719
"HSPE1",-0.292113264293906,11586
"BMP6",0.291703035090839,15448
"NCBP2",-0.291604254737594,1798
"TLE3",-0.291579475648372,13657
"HADHA",0.291494558977103,13912
"C1orf71",-0.291365256079105,186
"FAM104A",-0.29122269376803,15664
"DOCK11",0.291221152427738,8962
"HIST1H2AH",-0.291163353715968,10617
"C9orf72",0.291079614533883,4968
"COX8A",-0.291020364601868,8890
"CCNT1",-0.290973025493074,2930
"ADRA1D",-0.290414084653901,7023
"COL9A1",0.29037216360229,15732
"BSG",-0.290066145872119,11367
"CLIC4",0.290059523449714,607
"FMO2",0.289661737500023,4095
"HIST1H3J",-0.289629915150925,9766
"OAT",0.28959353633713,11917
"NTHL1",-0.289116981035685,8860
"CLDN8",0.289099297434806,10693
"OR11L1",-0.289033291169392,331
"SHE",0.28894404216313,576
"KIR2DL3",-0.288937342409961,12573
"MRPL39",0.288862520896393,8334
"TMEM57",-0.288727537159728,3600
"ITGB1BP3",-0.288683131522789,3497
"BIRC7",-0.288582356258812,4533
"SCEL",0.288386529146396,16677
"FLJ31818",0.288345257110203,8698
"PROK2",0.288268649304131,12021
"SAA1",0.288201957485061,7355
"SELE",0.288156225121666,10080
"PODXL",0.288096899186341,4778
"MAPK8IP2",-0.288088583420667,13509
"C3orf64",0.287979269093273,9975
"ROPN1",0.287968001378939,2553
"ARHGAP21",0.287931112723829,15250
"C12orf34",-0.287913454315699,3393
"OR4D1",-0.287765757978607,6548
"SLC6A17",-0.287725641925178,3274
"ZNF559",0.287655393595463,13834
"LOC440248",0.287537150618192,1503
"PCBP2",0.287489433734524,3160
"ATP9B",0.287152530931057,15199
"FOXE3",-0.287147193795636,2680
"SH3TC2",0.287146802483647,9351
"MAP3K8",0.287047775105232,1368
"ADRB2",0.287009658369417,12351
"MED25",-0.287009118364637,6901
"NXPH4",-0.286964381687309,12461
"ARHGAP15",0.286925519510361,8953
"C20orf144",-0.286907774053563,8416
"MAP1LC3C",0.28669573155585,76
"AMPD1",0.28665397556901,1426
"PCGF6",0.286603260409154,16390
"RTN4RL2",-0.286587659159592,3605
"RAD54L",-0.286443798106851,14820
"CALB1",-0.286369823780085,5507
"BPIL2",-0.286366428224819,3507
"KLK14",-0.286289625724483,3320
"C7orf27",-0.286285101054472,12347
"ZNF140",0.286202926229781,12481
"ZSWIM1",-0.286049008359878,4413
"C19orf24",-0.286037879998716,6310
"MID1",0.285991875487335,5705
"FAT2",0.28596966372265,10024
"MS4A6A",0.285968513257962,5730
"KRT13",0.285967720684286,9962
"RBM7",0.28594035934982,4710
"ALPPL2",-0.28593947210399,8035
"HOXD9",0.285720567753405,17176
"DFNA5",0.285604535901411,10318
"LOC389073",-0.285576758730369,8615
"CDC20",-0.285517694840239,5906
"HSPB1",-0.285510880649934,2205
"DEFB1",0.285315131602461,3379
"LRRC62",-0.285215276793923,14236
"C3orf22",-0.285088460497178,9061
"LOC643905",-0.285068775176484,12312
"ZNF366",0.285033144044659,14317
"AKR1D1",-0.284962200326421,13729
"HMGA1",-0.284914743381779,4273
"ITGB1BP2",-0.284905513748151,10990
"HIST1H4B",-0.284823442676552,537
"ARPC1A",0.284792128080894,2671
"CAPS2",0.284721551950366,7301
"CROT",0.284703141810897,1307
"GOT2",-0.284701365259379,9005
"LOC401397",0.284657961820894,8757
"PGCP",0.284596748075004,15229
"JAK2",0.284529225857571,9088
"NDOR1",-0.28435352968557,12340
"GP1BA",0.284351931134974,27
"NYX",-0.284284208037539,12161
"L3MBTL3",0.28405641184126,12851
"STAT5A",0.284018938652412,4604
"HM13",-0.283789667599303,13747
"FRMPD3",-0.283615721662293,11124
"NDUFC2",-0.283568146193754,12443
"TNRC4",-0.283563559212311,15799
"F8",0.283549162985681,1542
"ANKRD33",-0.283495001418401,3144
"RAB22A",-0.283463675217873,9506
"KHSRP",-0.283437788940309,6234
"CA3",0.283375013307433,15976
"DAZAP1",-0.283371470757504,15200
"MRPS34",-0.283323586561761,12030
"INS",-0.283200008629233,7140
"EDEM1",-0.283192047913246,10567
"C20orf174",0.283135703377334,9731
"MGC40574",-0.283038509897235,12800
"RBBP5",-0.282905197892579,12792
"LOC57228",0.282700000402379,7160
"IRX6",0.282598143901908,2822
"THBS1",-0.282476784626449,5096
"RAPGEF4",0.282435331170474,12400
"DAO",-0.282060113085522,11037
"ZDHHC24",-0.281978400918361,7908
"GRLF1",-0.281927546409701,12175
"ANXA3",0.281884694227672,4466
"GRB10",0.281879005990503,14637
"EHD4",0.281871808591,7281
"OXSR1",-0.281844887249411,12786
"MRPL53",-0.281839676627668,6516
"FDX1L",-0.281777546043528,6058
"EPHB1",0.2817212092537,15674
"C4orf7",0.281719913788205,15544
"GPR52",-0.28170337982324,16422
"C1QTNF9",0.281659971856418,8110
"THRSP",0.281619583913076,8101
"THRAP3",-0.281610664477752,13056
"NUP54",0.281520978647507,8506
"ABCA11",0.281176130432766,6084
"FNDC8",-0.281151030591288,11044
"ISCU",0.281141173499236,13388
"KPNA5",0.281121259328171,1544
"KLF9",0.281105326565154,11322
"BEST2",-0.280841489401065,4129
"KIR3DL1",-0.280768432175004,3703
"C12orf36",-0.280405191930491,13883
"C1orf215",0.280348116388478,11587
"ABCA9",0.280284002165662,11646
"ABCG1",-0.28014487332434,9925
"ZFP36L2",0.280142248328213,14329
"ZNF141",0.280064576145116,16334
"CXorf21",0.279983748988214,7333
"TRAF2",-0.279929111745594,15446
"S100P",-0.279904735250442,3329
"CLCN2",-0.279900232763708,10128
"A1BG",-0.279878678434977,1805
"LGALS2",0.279671182779804,9279
"HSP90AA1",-0.279577323542568,12440
"RFX4",-0.279576415926515,17158
"C20orf77",-0.279544171423557,11169
"C10orf58",0.27951424838487,8430
"SYNGR4",-0.27943644819846,4767
"DNASE1L2",-0.279312134972218,6281
"ANKRD44",0.279275427295828,15891
"CDH22",0.27922783823309,1703
"TMEM16K",0.27922007483687,6219
"KCTD12",0.279178154166048,2042
"RPL13",0.279029124144093,10591
"GPR156",-0.279000639291618,15015
"CYB561D1",-0.278995944640196,12822
"C11orf74",0.278766877296075,13829
"TNNT1",-0.278743531354488,10853
"BBC3",-0.278720081264898,2246
"TAS2R60",-0.278707000052396,7672
"EEF1A1",0.278605165549196,8168
"RRBP1",-0.278558425146959,3699
"KLHL5",0.278402024619977,13905
"FBXL5",0.278378933738882,4784
"AIFM3",-0.278226049681072,9676
"IL1R2",0.278199966508628,14745
"LOC402057",0.278143625076563,2686
"RECQL4",-0.27810099024231,10772
"LOC92017",0.278067972272602,13881
"FOXJ2",0.277939368648038,3535
"PLAGL2",-0.277902268311294,14822
"TMEM178",0.277850214500592,6528
"ATAD1",0.277724039772653,11008
"LAMA3",0.277677378458613,4834
"C16orf44",-0.277645649609973,11555
"KEAP1",-0.277611548653737,10290
"CXCL2",0.277609469315795,5019
"RTEL1",-0.277535015246199,4649
"CENPE",-0.277403887004305,7158
"COPG",-0.277366980325814,4045
"DGKI",0.277361799061539,1706
"UCN2",-0.2773606151967,9072
"RDX",0.27712102723182,9040
"MPL",0.277063267344167,6557
"CFHR1",-0.277059979266815,6913
"ATG16L1",-0.277031152842392,10783
"PNRC1",0.27699316226821,16651
"CD48",0.276910142207875,14873
"TMEM28",-0.276801640243002,12029
"OPA3",-0.276768292710583,4634
"FMNL2",0.276741244366055,12915
"IARS",0.276693575110682,7274
"TGFBR3",0.276636938411402,11688
"PDE7B",0.276615303138603,2745
"PANX2",-0.276515308319027,10569
"RANBP2",0.276442440544948,12923
"C9orf153",-0.276439227545004,4980
"CHODL",0.276432491456133,14554
"B3GNT5",0.276414552859588,14086
"RNASE7",0.276397315603061,2895
"MCM5",-0.276365125857983,9147
"NFAM1",-0.276348608155404,8154
"NAALADL1",0.276340421690853,4528
"RNF25",-0.276294123503443,16237
"COMTD1",-0.276282942448412,4780
"C19orf59",-0.276195613389367,10854
"SCN5A",0.276113117793801,4336
"CACNA1H",-0.276099004322679,2520
"SGCE",0.276076225079862,15028
"OR4D10",-0.27602550047213,8911
"GIPC3",-0.275951080075327,3053
"KRT6C",0.275937574626629,2891
"FOXO1",0.275933077213334,482
"ACBD3",-0.275911951868911,8819
"C14orf132",0.275636668256172,11033
"ECHDC2",0.275553513920198,10684
"IKZF1",0.275535342601176,16335
"SCARA5",0.275528006453415,3879
"C6orf15",0.275512874401744,8849
"DBP",-0.275384786890542,2786
"FAS",0.27538194944398,5592
"CUL1",0.275378135495213,14598
"DIRAS3",0.27536918771019,1618
"C16orf24",-0.275303686870987,1179
"TMEM189",-0.275142199710125,9084
"UGT3A1",-0.275063488473043,14139
"VASP",-0.274883970411347,3079
"FBXL13",0.274798739361673,16179
"PGDS",0.274689167189394,16155
"IL7R",0.27463394582782,6269
"OR8B8",-0.274582915200551,7247
"ACAA2",0.274559201443347,2687
"LOC389199",-0.274421464007771,8824
"LAMB3",0.274406307720055,2481
"DST",0.274157732310483,4053
"EIF4G3",-0.274143105528088,4456
"VWA1",-0.274058793616539,11104
"KCNE1",0.2740463863204,14130
"PROKR1",-0.273811134340975,1320
"ACVR1B",-0.273772119435856,10632
"TTLL12",-0.273765841529122,16806
"ORC4L",0.27375152315677,1450
"ARID5B",0.273420318831064,12120
"SNCB",-0.273357890801789,15165
"C11orf76",-0.273284917483948,6101
"HBP1",0.273240367688381,13392
"PPL",0.273091936915056,2482
"NCLN",-0.272941361259787,1055
"FNTA",0.272937176169909,7436
"SENP5",-0.272801293445933,1076
"SERPINE1",-0.272754459577308,12758
"OBFC2A",0.272728227016458,3188
"FBXO15",0.272589521100184,11359
"FBN3",-0.272507694431722,11215
"KCNA1",0.272452789010701,6630
"APBB1IP",0.272442930013463,17209
"C6orf58",0.272431530691052,11156
"HIST1H2BM",-0.272414447147458,6374
"ADAMTS1",0.272350754459882,3907
"CEACAM19",0.272350684734587,860
"DUSP11",0.272273284550497,14613
"NCOA5",-0.272263381297873,11396
"PACRG",0.272241873293804,14632
"UCP3",-0.272228893037654,950
"MGC87042",0.272177345270325,9884
"GFRA4",-0.271897139875342,1152
"CLIC2",0.271879303679885,12899
"LOC90925",0.271804107198954,1642
"C12orf25",0.271734805320879,1908
"GALE",-0.271692078888107,17075
"CYTL1",0.27161880199445,12578
"DUOXA2",-0.271606116926608,14191
"FSTL4",-0.271523574423843,3554
"FAIM",0.271422912557222,701
"CCNB1IP1",0.271421032924096,689
"RNF150",0.271268173029209,6927
"TTC9B",-0.271250143861697,936
"FAM82A",0.271177607509895,11214
"AP1GBP1",0.27110917412483,8187
"LRIG3",0.27109672665082,7957
"EOMES",0.271075037012061,15631
"SYT15",0.271062234211927,16543
"FLJ44635",0.271043621746505,14553
"C19orf12",0.271012159275147,10517
"DDX6",-0.270897473039138,10509
"C15orf52",0.270774755897093,2278
"FLJ14816",0.270695416739157,14934
"SPATA13",-0.270614770260132,12860
"ENAM",-0.270599816374162,12142
"SLC5A5",-0.270379396620742,6098
"LRFN4",-0.270356253133013,11385
"TUFT1",-0.270288887524876,3579
"PFDN2",-0.270224769582744,10847
"PPME1",-0.270110343443208,14747
"KRT6B",0.270079763470352,10732
"IGSF10",0.270039734688367,14680
"MFAP3L",0.270030267667419,2658
"SLC6A18",-0.269991755651786,5699
"KIAA1908",0.269907907762833,4668
