"","var","rel.inf"
"KCNMB3","KCNMB3",6.07503216480188
"C20orf19","C20orf19",5.78695405457779
"PER1","PER1",5.42672847139035
"CFP","CFP",3.63699947117112
"ARF1","ARF1",3.22888590143188
"YWHAH","YWHAH",2.76761042823174
"ARID5A","ARID5A",2.24590938413008
"RCL1","RCL1",2.17855315838454
"DDX23","DDX23",1.81889361296904
"CYBA","CYBA",1.7412986989361
"C21orf63","C21orf63",1.58787417070414
"GGTA1","GGTA1",1.57181895452416
"CNOT10","CNOT10",1.49729083039257
"FRAS1","FRAS1",1.48505390847093
"APOBEC3F","APOBEC3F",1.36141728696452
"C10orf54","C10orf54",1.30395471152781
"RC3H1","RC3H1",1.17266021882215
"MT1H","MT1H",1.12373658223697
"KLK7","KLK7",1.09434051602889
"MNDA","MNDA",1.02692421772809
"RAB1B","RAB1B",0.994859415863271
"SAA1","SAA1",0.993425395880612
"RNASE1","RNASE1",0.99251007263758
"GHR","GHR",0.949965747964029
"ITIH5","ITIH5",0.947114334588285
"METTL2B","METTL2B",0.901047793822671
"CTSL1","CTSL1",0.887339942496455
"C16orf52","C16orf52",0.868124739738076
"SAA4","SAA4",0.861425559953815
"PLS1","PLS1",0.859487949863891
"IYD","IYD",0.850398964712029
"`RP11-125A7.3`","`RP11-125A7.3`",0.845773079125071
"ELOVL3","ELOVL3",0.802492876657242
"GLB1L","GLB1L",0.789433742340219
"ATIC","ATIC",0.788970312253593
"UIMC1","UIMC1",0.744951088358132
"KIAA1462","KIAA1462",0.742057064806841
"C7orf20","C7orf20",0.726141589858225
"RBM17","RBM17",0.723007145592569
"FZD7","FZD7",0.718788964232914
"MATK","MATK",0.676747281364008
"AMMECR1","AMMECR1",0.668457349334683
"EGR3","EGR3",0.663390783968828
"JUN","JUN",0.652313081534219
"MARCH1","MARCH1",0.648746087128899
"DDI2","DDI2",0.647103457644811
"C12orf28","C12orf28",0.632540454948544
"MYO9A","MYO9A",0.617963496257259
"SERPINB9","SERPINB9",0.617374028511814
"CHRM1","CHRM1",0.612948257711576
"SPOCD1","SPOCD1",0.602922522515385
"CELP","CELP",0.576777709864518
"UBXD2","UBXD2",0.575244633953623
"SFRP5","SFRP5",0.555163843734436
"MAP3K3","MAP3K3",0.546125612119785
"CDH3","CDH3",0.532478794601236
"JAG2","JAG2",0.527472698976618
"TEX13B","TEX13B",0.493626094180478
"STAU2","STAU2",0.475883718910943
"SCYL2","SCYL2",0.473263485858354
"NR4A3","NR4A3",0.472283394694481
"GPR6","GPR6",0.466859400033774
"HSD17B6","HSD17B6",0.452260658874003
"EDIL3","EDIL3",0.425062932547363
"ZMYND15","ZMYND15",0.413788706200983
"HSPH1","HSPH1",0.391242192233435
"DIMT1L","DIMT1L",0.38172428845552
"RNF186","RNF186",0.381316864300606
"LNX2","LNX2",0.381256102661233
"RFT1","RFT1",0.371860983426319
"LOC91461","LOC91461",0.36902981199973
